Time	accX	accY	accZ	spinSpeed
2025-03-19 15:03:35.540	37.000	1004.000	6.000	NaN
2025-03-19 15:03:35.541	38.000	1002.000	6.000	NaN
2025-03-19 15:03:35.541	40.000	1002.000	6.000	NaN
2025-03-19 15:03:35.541	40.000	1002.000	5.000	NaN
2025-03-19 15:03:35.541	40.000	1002.000	7.000	NaN
2025-03-19 15:03:35.542	40.000	1001.000	8.000	NaN
2025-03-19 15:03:35.542	38.000	1000.000	7.000	NaN
2025-03-19 15:03:35.542	38.000	1000.000	7.000	NaN
2025-03-19 15:03:35.542	37.000	1000.000	6.000	NaN
2025-03-19 15:03:35.542	39.000	1002.000	6.000	NaN
2025-03-19 15:03:35.543	39.000	1002.000	7.000	NaN
2025-03-19 15:03:35.543	37.000	1000.000	7.000	NaN
2025-03-19 15:03:35.543	38.000	999.000	7.000	NaN
2025-03-19 15:03:35.543	39.000	998.000	5.000	NaN
2025-03-19 15:03:35.543	38.000	999.000	4.000	NaN
2025-03-19 15:03:35.544	38.000	999.000	4.000	NaN
2025-03-19 15:03:35.544	38.000	1000.000	4.000	NaN
2025-03-19 15:03:35.544	39.000	999.000	4.000	NaN
2025-03-19 15:03:35.544	38.000	999.000	7.000	NaN
2025-03-19 15:03:35.544	38.000	1001.000	7.000	NaN
2025-03-19 15:03:35.545	39.000	1003.000	7.000	NaN
2025-03-19 15:03:35.545	40.000	1001.000	6.000	NaN
2025-03-19 15:03:35.545	40.000	1001.000	6.000	NaN
2025-03-19 15:03:35.545	39.000	999.000	6.000	NaN
2025-03-19 15:03:35.545	38.000	999.000	4.000	NaN
2025-03-19 15:03:35.546	36.000	1000.000	4.000	NaN
2025-03-19 15:03:35.546	34.000	1001.000	5.000	NaN
2025-03-19 15:03:35.546	35.000	1001.000	4.000	NaN
2025-03-19 15:03:35.546	37.000	1000.000	2.000	NaN
2025-03-19 15:03:35.546	39.000	1000.000	2.000	NaN
2025-03-19 15:03:35.546	39.000	1000.000	3.000	NaN
2025-03-19 15:03:35.547	38.000	1000.000	4.000	NaN
2025-03-19 15:03:35.547	37.000	1000.000	6.000	NaN
2025-03-19 15:03:35.547	38.000	1000.000	5.000	NaN
2025-03-19 15:03:35.547	39.000	1000.000	4.000	NaN
2025-03-19 15:03:35.547	38.000	1001.000	2.000	NaN
2025-03-19 15:03:35.548	37.000	999.000	1.000	NaN
2025-03-19 15:03:35.548	37.000	999.000	1.000	NaN
2025-03-19 15:03:35.548	36.000	1000.000	2.000	NaN
2025-03-19 15:03:35.548	34.000	1001.000	2.000	NaN
2025-03-19 15:03:35.548	35.000	1000.000	3.000	NaN
2025-03-19 15:03:35.549	39.000	999.000	5.000	NaN
2025-03-19 15:03:35.549	40.000	1000.000	7.000	NaN
2025-03-19 15:03:35.549	39.000	1000.000	8.000	NaN
