开始记录数据...	开始记录数据...	
主轴数据: 5000	采集数据: X = 0.019453, Y = -0.003291, Z = 0.01559	
更新目标转速为: 9000	t = 45.6 s, 稳定, fc = NaN Hz, Xf = 0.0209, pass = 0.0002 s	
主轴数据: 5000	采集数据: X = -0.059942, Y = 0.073631, Z = -0.020303	
主轴数据: 5000	t = 45.7 s, 稳定, fc = NaN Hz, Xf = 0.0349, pass = 0.0002 s	
更新目标转速为: 9000	采集数据: X = 0.17788, Y = -0.27438, Z = 0.069217	
主轴数据: 8000	t = 45.8 s, 颤振, fc = 150.00 Hz, Xf = 0.2601, pass = 0.0087 s	
主轴数据: 8000	采集数据: X = 0.086245, Y = -0.23497, Z = 0.018394	
更新目标转速为: 9000	t = 45.9 s, 颤振, fc = 150.00 Hz, Xf = 0.2710, pass = 0.0002 s	
主轴数据: 8000	采集数据: X = 0.18683, Y = -0.2773, Z = 0.080308	
更新目标转速为: 9000	t = 46.0 s, 颤振, fc = 150.00 Hz, Xf = 0.2677, pass = 0.0045 s	
主轴数据: 8000	采集数据: X = -0.068283, Y = 0.040986, Z = -0.023898	
更新目标转速为: 9000	t = 46.1 s, 颤振, fc = 150.00 Hz, Xf = 0.2332, pass = 0.0002 s	
主轴数据: 8000	采集数据: X = 0.044112, Y = 0.004322, Z = 0.036127	
主轴数据: 8000	t = 46.2 s, 稳定, fc = NaN Hz, Xf = 0.0420, pass = 0.0002 s	
主轴数据: 8000	采集数据: X = 0.14415, Y = -0.33321, Z = 0.031495	
更新目标转速为: 9000	t = 46.3 s, 稳定, fc = NaN Hz, Xf = 0.0448, pass = 0.0003 s	
主轴数据: 8000	采集数据: X = 0.22793, Y = -0.35775, Z = 0.05709	
更新目标转速为: 9000	t = 46.4 s, 颤振, fc = 150.00 Hz, Xf = 0.2677, pass = 0.0079 s	
主轴数据: 8000	采集数据: X = 0.15797, Y = -0.33747, Z = 0.028448	
主轴数据: 8000	t = 46.5 s, 颤振, fc = 150.00 Hz, Xf = 0.2699, pass = 0.0044 s	
更新目标转速为: 9000	采集数据: X = 0.21015, Y = -0.34289, Z = 0.057699	
主轴数据: 2000	t = 46.6 s, 颤振, fc = 150.00 Hz, Xf = 0.2680, pass = 0.0003 s	
更新目标转速为: 2250	采集数据: X = -0.019879, Y = 0.026369, Z = -0.0034225	
主轴数据: 2000	t = 46.7 s, 颤振, fc = 150.00 Hz, Xf = 0.1952, pass = 0.0078 s	
主轴数据: 2000	采集数据: X = 0.010442, Y = 0.0271, Z = 0.003037	
主轴数据: 2000	t = 46.8 s, 稳定, fc = NaN Hz, Xf = 0.0202, pass = 0.0002 s	
更新目标转速为: 2250	采集数据: X = -0.25441, Y = 0.49503, Z = 0.010776	
更新目标转速为: 2250	t = 46.9 s, 稳定, fc = NaN Hz, Xf = 0.0790, pass = 0.0002 s	
