开始记录数据...	开始记录数据...	
	采集数据: X = 0.32948, Y = 0.10378, Z = -0.15924	
主轴转速: 5027	t = 5.7 s, 稳定, fc = NaN Hz, Xf = 0.1006, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.011416, Y = 0.068881, Z = 0.20986	
主轴转速: 4973	t = 5.8 s, 稳定, fc = NaN Hz, Xf = 0.0987, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.10652, Y = -0.0095641, Z = 0.051483	
主轴转速: 4973	t = 5.9 s, 稳定, fc = NaN Hz, Xf = 0.1004, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.00094359, Y = -0.1279, Z = 0.059162	
主轴转速: 4999	t = 6.0 s, 稳定, fc = NaN Hz, Xf = 0.0996, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.046304, Y = -0.0099905, Z = -0.26339	
主轴转速: 4995	t = 6.1 s, 稳定, fc = NaN Hz, Xf = 0.1001, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.081495, Y = -0.050979, Z = 0.034421	
主轴转速: 4995	t = 6.2 s, 稳定, fc = NaN Hz, Xf = 0.1005, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.18506, Y = 0.1818, Z = -0.016098	
主轴转速: 4978	t = 6.3 s, 稳定, fc = NaN Hz, Xf = 0.0998, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.41357, Y = 0.11766, Z = -0.048578	
主轴转速: 4978	t = 6.4 s, 稳定, fc = NaN Hz, Xf = 0.1023, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.15724, Y = 0.11517, Z = -0.017317	
主轴转速: 5023	t = 6.5 s, 稳定, fc = NaN Hz, Xf = 0.1001, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.0804, Y = -0.081553, Z = 0.19237	
主轴转速: 5023	t = 6.6 s, 稳定, fc = NaN Hz, Xf = 0.0998, n_new = NaN rpm, pass = 0.0002 s	
