检查报告							
公司:		深圳力合精密装备科技有限公司					
操作员:							
日期:		2025年4月2日					
时间:		21:52:58					
工件温度:		20.0C					
							
PT1				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	7.5000	7.5002	0.0002	0.0000	0.0000	0.0002	
Y	142.4999	142.5012	0.0013	0.0000	0.0000	0.0013	
Z	-0.9999	-2.1617	-1.1618	0.0000	0.0000	-1.1618	
I	0.0000	0.0000	0.0000				
J	0.0000	0.0000	0.0000				
K	1.0000	1.0000	0.0000				
							
PT2				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	14.6053	14.6059	0.0006	0.0000	0.0000	0.0006	
Y	142.4999	142.5015	0.0016	0.0000	0.0000	0.0016	
Z	-0.9999	-2.1474	-1.1475	0.0000	0.0000	-1.1475	
I	0.0000	0.0000	0.0000				
J	0.0000	0.0000	0.0000				
K	1.0000	1.0000	0.0000				
							
PT3				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	21.7105	21.7107	0.0002	0.0000	0.0000	0.0002	
Y	142.4999	142.5014	0.0014	0.0000	0.0000	0.0014	
Z	-0.9999	-2.1637	-1.1638	0.0000	0.0000	-1.1638	
I	0.0000	0.0000	0.0000				
J	0.0000	0.0000	0.0000				
K	1.0000	1.0000	0.0000				
							
PT4				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	28.8158	28.8163	0.0006	0.0000	0.0000	0.0006	
Y	142.4999	142.5011	0.0013	0.0000	0.0000	0.0013	
Z	-0.9999	-2.1871	-1.1872	0.0000	0.0000	-1.1872	
I	0.0000	0.0000	0.0000				
J	0.0000	0.0000	0.0000				
K	1.0000	1.0000	0.0000				
							
PT5				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	35.9211	35.9215	0.0003	0.0000	0.0000	0.0003	
Y	142.4999	142.5012	0.0014	0.0000	0.0000	0.0014	
Z	-0.9999	-2.1904	-1.1905	0.0000	0.0000	-1.1905	
I	0.0000	0.0000	0.0000				
J	0.0000	0.0000	0.0000				
K	1.0000	1.0000	0.0000				
							
PT6				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	43.0263	43.0266	0.0003	0.0000	0.0000	0.0003	
Y	142.4999	142.5013	0.0014	0.0000	0.0000	0.0014	
Z	-0.9999	-2.1802	-1.1803	0.0000	0.0000	-1.1803	
I	0.0000	0.0000	0.0000				
J	0.0000	0.0000	0.0000				
K	1.0000	1.0000	0.0000				
							
PT7				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	50.1316	50.1322	0.0006	0.0000	0.0000	0.0006	
Y	142.4999	142.5015	0.0016	0.0000	0.0000	0.0016	
Z	-0.9999	-2.1711	-1.1712	0.0000	0.0000	-1.1712	
I	0.0000	0.0000	0.0000				
J	0.0000	0.0000	0.0000				
K	1.0000	1.0000	0.0000				
							
PT8				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	57.2368	57.2372	0.0004	0.0000	0.0000	0.0004	
Y	142.4999	142.5013	0.0014	0.0000	0.0000	0.0014	
Z	-0.9999	-2.1744	-1.1745	0.0000	0.0000	-1.1745	
I	0.0000	0.0000	0.0000				
J	0.0000	0.0000	0.0000				
K	1.0000	1.0000	0.0000				
							
PT9				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	64.3421	64.3425	0.0004	0.0000	0.0000	0.0004	
Y	142.4999	142.5012	0.0013	0.0000	0.0000	0.0013	
Z	-0.9999	-2.1661	-1.1662	0.0000	0.0000	-1.1662	
I	0.0000	0.0000	0.0000				
J	0.0000	0.0000	0.0000				
K	1.0000	1.0000	0.0000				
							
PT10				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	71.4474	71.4479	0.0005	0.0000	0.0000	0.0005	
Y	142.4999	142.5013	0.0014	0.0000	0.0000	0.0014	
Z	-0.9999	-2.1782	-1.1783	0.0000	0.0000	-1.1783	
I	0.0000	0.0000	0.0000				
J	0.0000	0.0000	0.0000				
K	1.0000	1.0000	0.0000				
							
PT11				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	78.5526	78.5528	0.0002	0.0000	0.0000	0.0002	
Y	142.4999	142.5013	0.0014	0.0000	0.0000	0.0014	
Z	-0.9999	-2.1866	-1.1867	0.0000	0.0000	-1.1867	
I	0.0000	0.0000	0.0000				
J	0.0000	0.0000	0.0000				
K	1.0000	1.0000	0.0000				
							
PT12				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	85.6579	85.6584	0.0005	0.0000	0.0000	0.0005	
Y	142.4999	142.5015	0.0016	0.0000	0.0000	0.0016	
Z	-0.9999	-2.1767	-1.1768	0.0000	0.0000	-1.1768	
I	0.0000	0.0000	0.0000				
J	0.0000	0.0000	0.0000				
K	1.0000	1.0000	0.0000				
							
PT13				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	92.7632	92.7635	0.0003	0.0000	0.0000	0.0003	
Y	142.4999	142.5013	0.0015	0.0000	0.0000	0.0015	
Z	-0.9999	-2.1834	-1.1835	0.0000	0.0000	-1.1835	
I	0.0000	0.0000	0.0000				
J	0.0000	0.0000	0.0000				
K	1.0000	1.0000	0.0000				
							
PT14				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	99.8684	99.8688	0.0004	0.0000	0.0000	0.0004	
Y	142.4999	142.5014	0.0015	0.0000	0.0000	0.0015	
Z	-0.9999	-2.1869	-1.1870	0.0000	0.0000	-1.1870	
I	0.0000	0.0000	0.0000				
J	0.0000	0.0000	0.0000				
K	1.0000	1.0000	0.0000				
							
PT15				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	106.9740	106.9743	0.0003	0.0000	0.0000	0.0003	
Y	142.4999	142.5014	0.0015	0.0000	0.0000	0.0015	
Z	-0.9999	-2.1693	-1.1694	0.0000	0.0000	-1.1694	
I	0.0000	0.0000	0.0000				
J	0.0000	0.0000	0.0000				
K	1.0000	1.0000	0.0000				
							
PT16				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	114.0790	114.0792	0.0002	0.0000	0.0000	0.0002	
Y	142.4999	142.5014	0.0015	0.0000	0.0000	0.0015	
Z	-0.9999	-2.1950	-1.1951	0.0000	0.0000	-1.1951	
I	0.0000	0.0000	0.0000				
J	0.0000	0.0000	0.0000				
K	1.0000	1.0000	0.0000				
							
PT17				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	121.1840	121.1843	0.0003	0.0000	0.0000	0.0003	
Y	142.4999	142.5015	0.0016	0.0000	0.0000	0.0016	
Z	-0.9999	-2.2117	-1.2118	0.0000	0.0000	-1.2118	
I	0.0000	0.0000	0.0000				
J	0.0000	0.0000	0.0000				
K	1.0000	1.0000	0.0000				
							
PT18				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	128.2890	128.2891	0.0001	0.0000	0.0000	0.0001	
Y	142.4999	142.5014	0.0015	0.0000	0.0000	0.0015	
Z	-0.9999	-2.2089	-1.2090	0.0000	0.0000	-1.2090	
I	0.0000	0.0000	0.0000				
J	0.0000	0.0000	0.0000				
K	1.0000	1.0000	0.0000				
							
PT19				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	135.3950	135.3955	0.0005	0.0000	0.0000	0.0005	
Y	142.4999	142.5011	0.0012	0.0000	0.0000	0.0012	
Z	-0.9999	-2.2244	-1.2245	0.0000	0.0000	-1.2245	
I	0.0000	0.0000	0.0000				
J	0.0000	0.0000	0.0000				
K	1.0000	1.0000	0.0000				
							
PT20				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	142.5000	142.5002	0.0002	0.0000	0.0000	0.0002	
Y	142.4999	142.5014	0.0015	0.0000	0.0000	0.0015	
Z	-0.9999	-2.2125	-1.2126	0.0000	0.0000	-1.2126	
I	0.0000	0.0000	0.0000				
J	0.0000	0.0000	0.0000				
K	1.0000	1.0000	0.0000				
							
PT21				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	7.5000	7.4997	-0.0003	0.0000	0.0000	-0.0003	
Y	127.4999	127.4992	-0.0007	0.0000	0.0000	-0.0007	
Z	-1.9999	-3.2091	-1.2092	0.0000	0.0000	-1.2092	
I	0.0000	0.0000	0.0000				
J	0.0000	0.0000	0.0000				
K	1.0000	1.0000	0.0000				
							
PT22				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	14.6053	14.6056	0.0004	0.0000	0.0000	0.0004	
Y	127.4999	127.5013	0.0014	0.0000	0.0000	0.0014	
Z	-1.9999	-3.2062	-1.2063	0.0000	0.0000	-1.2063	
I	0.0000	0.0000	0.0000				
J	0.0000	0.0000	0.0000				
K	1.0000	1.0000	0.0000				
							
PT23				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	21.7105	21.7110	0.0005	0.0000	0.0000	0.0005	
Y	127.4999	127.5015	0.0016	0.0000	0.0000	0.0016	
Z	-1.9999	-3.1970	-1.1971	0.0000	0.0000	-1.1971	
I	0.0000	0.0000	0.0000				
J	0.0000	0.0000	0.0000				
K	1.0000	1.0000	0.0000				
							
PT24				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	28.8158	28.8163	0.0005	0.0000	0.0000	0.0005	
Y	127.4999	127.5015	0.0016	0.0000	0.0000	0.0016	
Z	-1.9999	-3.1914	-1.1915	0.0000	0.0000	-1.1915	
I	0.0000	0.0000	0.0000				
J	0.0000	0.0000	0.0000				
K	1.0000	1.0000	0.0000				
							
PT25				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	35.9211	35.9213	0.0002	0.0000	0.0000	0.0002	
Y	127.4999	127.5015	0.0016	0.0000	0.0000	0.0016	
Z	-1.9999	-3.1807	-1.1808	0.0000	0.0000	-1.1808	
I	0.0000	0.0000	0.0000				
J	0.0000	0.0000	0.0000				
K	1.0000	1.0000	0.0000				
							
PT26				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	43.0263	43.0269	0.0007	0.0000	0.0000	0.0007	
Y	127.4999	127.5015	0.0016	0.0000	0.0000	0.0016	
Z	-1.9999	-3.1739	-1.1740	0.0000	0.0000	-1.1740	
I	0.0000	0.0000	0.0000				
J	0.0000	0.0000	0.0000				
K	1.0000	1.0000	0.0000				
							
PT27				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	50.1316	50.1320	0.0004	0.0000	0.0000	0.0004	
Y	127.4999	127.5015	0.0016	0.0000	0.0000	0.0016	
Z	-1.9999	-3.1882	-1.1883	0.0000	0.0000	-1.1883	
I	0.0000	0.0000	0.0000				
J	0.0000	0.0000	0.0000				
K	1.0000	1.0000	0.0000				
							
PT28				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	57.2368	57.2372	0.0004	0.0000	0.0000	0.0004	
Y	127.4999	127.5015	0.0016	0.0000	0.0000	0.0016	
Z	-1.9999	-3.2090	-1.2091	0.0000	0.0000	-1.2091	
I	0.0000	0.0000	0.0000				
J	0.0000	0.0000	0.0000				
K	1.0000	1.0000	0.0000				
							
PT29				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	64.3421	64.3426	0.0005	0.0000	0.0000	0.0005	
Y	127.4999	127.5015	0.0015	0.0000	0.0000	0.0015	
Z	-1.9999	-3.2035	-1.2036	0.0000	0.0000	-1.2036	
I	0.0000	0.0000	0.0000				
J	0.0000	0.0000	0.0000				
K	1.0000	1.0000	0.0000				
							
PT30				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	71.4474	71.4475	0.0001	0.0000	0.0000	0.0001	
