Resolution	1.5625 Hz			
Span	1250 Hz			
Bandwidth	1600 Hz			
Sample frequency	3200 Hz			
Frequency resolution	1.5625 Hz			
X axis increment	1.5625 Hz			
X axis	0-1600 Hz			
X axis quantity	Frequency			
X axis unit	Hz			
Number of lines	1025			
Value type	Complex			
Y axis quantity	AccelerationOverForce			
Y axis unit	g/N			
Reference actual sensitivity	0.23 mV/N			
Reference transducer sn				
Reference transducer id				
Reference user comment				
Reference user channel id				
Reference channel id	6			
Reference DOF id	test:1:-Y			
Reference point direction sign	-			
Reference point direction absolute	Y			
Reference point direction	-Y			
Reference point id node	1			
Reference point id component	test			
Reference point id	test:1			
Position ID	P3			
HW Range	10 V			
User Range	10 V			
PhysicalChannelId	Input3			
Channel group	Group 1			
Channelgroup	Vibration			
Measured quantity	Acceleration			
Polarity	+			
Offset EU	0 g			
Actual sensitivity	10 mV/g			
Transducer sn				
Transducer id				
Cylinder offset	0 бу			
User channel ID 3				
User comment				
User channel id				
Channel id	5			
Channel name	C3			
Driving point	0			
DOF id	test:3:-Z			
Point direction sign	-			
Point direction absolute	Z			
Point direction	-Z			
Point id node	3			
Point id component	test			
Point id	test:3			
Overload	0			
Original run	Run 1			
Original section	EXP06_3			
Original project	0718impact_test			
Original project dir	E:\EXP\EXP06\0718impact_test.lms			
FRF scaling	GlobalScaling			
FRF estimation method	H1			
Average parameter	0.5			
Average type	Linear average			
Number of averages	5			
Reference number of windows	2			
Reference window type	Force*Exponential			
Reference window exponent	100 %			
Reference window width	3.4668 %			
Reference window correction mode	amplitude			
Lower Limit EU	-1000 g			
Upper Limit EU	1000 g			
Window type	Exponential			
Window exponent	100 %			
Window correction mode	amplitude			
Function class	FRF			
Weighting	Linear			
Modified	Thu Apr 03 2025 14:18:23			
Created	Thu Apr 03 2025 14:18:23			
          0.000000000e+00	         -1.310759573e-02	          0.000000000e+00		
          1.562500000e+00	         -8.787290343e-04	         -5.452997119e-05		
          3.125000000e+00	         -1.483575261e-03	         -1.615975937e-04		
          4.687500000e+00	         -1.788724159e-03	         -4.954153372e-04		
          6.250000000e+00	         -1.810237367e-03	         -2.186397184e-04		
          7.812500000e+00	         -1.399144964e-03	         -6.038576996e-04		
          9.375000000e+00	         -1.342360940e-03	         -1.078150671e-03		
          1.093750000e+01	         -2.190759514e-03	         -9.148064176e-04		
          1.250000000e+01	         -1.112051282e-03	         -4.878773097e-04		
          1.406250000e+01	          2.239167366e-04	         -7.424702163e-04		
          1.562500000e+01	          8.000590508e-04	         -2.563156157e-03		
          1.718750000e+01	          9.376497162e-03	         -7.604749377e-03		
          1.875000000e+01	         -1.230958401e-02	         -8.920631777e-04		
          2.031250000e+01	         -5.907829151e-03	         -3.560110446e-04		
          2.187500000e+01	         -5.321220290e-03	          3.728951333e-04		
          2.343750000e+01	         -4.208081904e-03	          3.893028601e-04		
          2.500000000e+01	         -3.587816596e-03	          3.366605060e-04		
          2.656250000e+01	         -3.124558296e-03	          1.930985531e-04		
          2.812500000e+01	         -2.776335687e-03	          2.575422950e-04		
          2.968750000e+01	         -2.479346860e-03	          1.554011739e-04		
          3.125000000e+01	         -2.165586790e-03	          2.484403979e-04		
          3.281250000e+01	         -1.782688723e-03	          2.008631873e-05		
          3.437500000e+01	         -1.852867955e-03	          2.856231429e-05		
          3.593750000e+01	         -1.687598310e-03	         -2.120677606e-05		
          3.750000000e+01	         -1.233903715e-03	          8.252256961e-05		
          3.906250000e+01	         -9.424192608e-04	          1.357410024e-04		
          4.062500000e+01	         -5.785963707e-04	          7.697266547e-05		
          4.218750000e+01	         -4.723213788e-04	         -2.022412540e-05		
          4.375000000e+01	         -5.625480640e-05	          1.675939862e-04		
          4.531250000e+01	          2.095965118e-04	          7.882523921e-05		
          4.687500000e+01	          5.416824102e-04	          7.081744861e-06		
          4.843750000e+01	          9.472501171e-04	          1.909545211e-04		
          5.000000000e+01	          1.219153877e-03	         -8.034753042e-05		
          5.156250000e+01	          1.752280008e-03	         -3.008637391e-06		
          5.312500000e+01	          2.045319666e-03	         -1.139256996e-04		
          5.468750000e+01	          2.666318130e-03	         -1.433005285e-04		
          5.625000000e+01	          3.175521798e-03	         -2.693401334e-04		
          5.781250000e+01	          3.699645392e-03	         -3.346603038e-04		
          5.937500000e+01	          4.539744860e-03	         -7.823920183e-04		
          6.093750000e+01	          4.857154188e-03	         -1.055180077e-03		
          6.250000000e+01	          5.536782389e-03	         -1.641568801e-03		
          6.406250000e+01	          6.256457275e-03	         -1.982679221e-03		
          6.562500000e+01	          6.872464957e-03	         -2.535290128e-03		
          6.718750000e+01	          6.880501569e-03	         -3.125413392e-03		
          6.875000000e+01	          7.277058002e-03	         -3.483649477e-03		
          7.031250000e+01	          8.418798613e-03	         -3.862047938e-03		
          7.187500000e+01	          9.244560121e-03	         -4.868733504e-03		
          7.343750000e+01	          1.037580634e-02	         -6.093215208e-03		
          7.500000000e+01	          1.098677727e-02	         -7.813555419e-03		
          7.656250000e+01	          1.081025519e-02	         -9.703225176e-03		
          7.812500000e+01	          1.076709620e-02	         -1.188316873e-02		
          7.968750000e+01	          8.830291688e-03	         -1.392616319e-02		
          8.125000000e+01	          7.961105276e-03	         -1.363080364e-02		
          8.281250000e+01	          8.062049925e-03	         -1.433611246e-02		
          8.437500000e+01	          9.162343255e-03	         -1.784426912e-02		
          8.593750000e+01	          4.061602531e-03	         -1.883265692e-02		
          8.750000000e+01	          3.602600291e-04	         -1.822482830e-02		
          8.906250000e+01	         -3.949393862e-03	         -1.634847768e-02		
          9.062500000e+01	         -2.338162929e-03	         -1.214139940e-02		
          9.218750000e+01	         -1.379623435e-03	         -1.203044128e-02		
          9.375000000e+01	         -9.976546103e-05	         -1.309365436e-02		
          9.531250000e+01	         -1.851192521e-03	         -1.396853584e-02		
          9.687500000e+01	         -5.646516180e-03	         -1.344815723e-02		
          9.843750000e+01	         -6.466048517e-03	         -8.672262630e-03		
          1.000000000e+02	         -3.708486577e-03	         -5.359908547e-03		
          1.015625000e+02	         -8.203398531e-04	         -5.014805652e-03		
          1.031250000e+02	          8.371710205e-04	         -5.263191894e-03		
          1.046875000e+02	          2.085831887e-03	         -5.820373064e-03		
          1.062500000e+02	          3.154318377e-03	         -6.142104598e-03		
          1.078125000e+02	          4.101017487e-03	         -6.626767082e-03		
          1.093750000e+02	          4.694585257e-03	         -7.126169813e-03		
          1.109375000e+02	          5.348417741e-03	         -7.821366385e-03		
          1.125000000e+02	          5.915356732e-03	         -8.521476247e-03		
          1.140625000e+02	          6.263736419e-03	         -9.151077715e-03		
          1.156250000e+02	          6.549237860e-03	         -9.654700845e-03		
          1.171875000e+02	          6.633834256e-03	         -1.038907001e-02		
          1.187500000e+02	          6.808451647e-03	         -1.092946266e-02		
          1.203125000e+02	          6.657813415e-03	         -1.122573770e-02		
          1.218750000e+02	          6.913888685e-03	         -1.144721406e-02		
          1.234375000e+02	          7.421241417e-03	         -1.169157629e-02		
          1.250000000e+02	          7.922678752e-03	         -1.232385891e-02		
          1.265625000e+02	          8.144475721e-03	         -1.308089668e-02		
          1.281250000e+02	          8.322110831e-03	         -1.370683920e-02		
          1.296875000e+02	          8.538981596e-03	         -1.455299614e-02		
          1.312500000e+02	          8.529676964e-03	         -1.551312892e-02		
          1.328125000e+02	          8.315114314e-03	         -1.631772765e-02		
