Resolution	1.5625 Hz			
Span	1250 Hz			
Bandwidth	1600 Hz			
Sample frequency	3200 Hz			
Frequency resolution	1.5625 Hz			
X axis increment	1.5625 Hz			
X axis	0-1600 Hz			
X axis quantity	Frequency			
X axis unit	Hz			
Number of lines	1025			
Value type	Complex			
Y axis quantity	AccelerationOverForce			
Y axis unit	g/N			
Reference actual sensitivity	0.23 mV/N			
Reference transducer sn				
Reference transducer id				
Reference user comment				
Reference user channel id				
Reference channel id	6			
Reference DOF id	test:1:-Y			
Reference point direction sign	-			
Reference point direction absolute	Y			
Reference point direction	-Y			
Reference point id node	1			
Reference point id component	test			
Reference point id	test:1			
Position ID	P1			
HW Range	10 V			
User Range	10 V			
PhysicalChannelId	Input1			
Channel group	Group 1			
Channelgroup	Vibration			
Measured quantity	Acceleration			
Polarity	+			
Offset EU	0 g			
Actual sensitivity	10 mV/g			
Transducer sn				
Transducer id				
Cylinder offset	0 бу			
User channel ID 3				
User comment				
User channel id				
Channel id	3			
Channel name	C1			
Driving point	0			
DOF id	test:3:-X			
Point direction sign	-			
Point direction absolute	X			
Point direction	-X			
Point id node	3			
Point id component	test			
Point id	test:3			
Overload	0			
Original run	Run 1			
Original section	EXP06_2			
Original project	0718impact_test			
Original project dir	E:\EXP\EXP06\0718impact_test.lms			
FRF scaling	GlobalScaling			
FRF estimation method	H1			
Average parameter	0.5			
Average type	Linear average			
Number of averages	5			
Reference number of windows	2			
Reference window type	Force*Exponential			
Reference window exponent	100 %			
Reference window width	3.4668 %			
Reference window correction mode	amplitude			
Lower Limit EU	-1000 g			
Upper Limit EU	1000 g			
Window type	Exponential			
Window exponent	100 %			
Window correction mode	amplitude			
Function class	FRF			
Weighting	Linear			
Modified	Thu Apr 03 2025 13:33:21			
Created	Thu Apr 03 2025 13:33:21			
          0.000000000e+00	         -4.979267842e-02	          0.000000000e+00		
          1.562500000e+00	          3.556585416e-02	          2.424794462e-02		
          3.125000000e+00	          2.650792836e-02	          2.758077808e-03		
          4.687500000e+00	          2.171778545e-02	         -1.324951225e-03		
          6.250000000e+00	          1.935097509e-02	         -2.685084470e-03		
          7.812500000e+00	          1.840963087e-02	         -4.073128285e-03		
          9.375000000e+00	          1.657560276e-02	         -3.637265540e-03		
          1.093750000e+01	          1.603259583e-02	         -3.753283965e-03		
          1.250000000e+01	          1.631907848e-02	         -3.569600504e-03		
          1.406250000e+01	          1.613524687e-02	         -3.990039229e-03		
          1.562500000e+01	          1.629682091e-02	         -4.376987512e-03		
          1.718750000e+01	          1.666708551e-02	         -5.445776001e-03		
          1.875000000e+01	          1.446651253e-02	         -5.391287650e-03		
          2.031250000e+01	          1.462713536e-02	         -5.673007066e-03		
          2.187500000e+01	          1.420685201e-02	         -5.994316180e-03		
          2.343750000e+01	          1.407942407e-02	         -6.238867975e-03		
          2.500000000e+01	          1.389710132e-02	         -6.309715215e-03		
          2.656250000e+01	          1.334040221e-02	         -6.643678308e-03		
          2.812500000e+01	          1.305585539e-02	         -6.886742897e-03		
          2.968750000e+01	          1.260307686e-02	         -6.822183329e-03		
          3.125000000e+01	          1.218603079e-02	         -7.110044926e-03		
          3.281250000e+01	          1.211316338e-02	         -6.986789524e-03		
          3.437500000e+01	          1.162226830e-02	         -7.186493027e-03		
          3.593750000e+01	          1.141372209e-02	         -7.231615968e-03		
          3.750000000e+01	          1.100660593e-02	         -7.369690250e-03		
          3.906250000e+01	          1.056192099e-02	         -7.135434937e-03		
          4.062500000e+01	          1.026291845e-02	         -7.325181186e-03		
          4.218750000e+01	          1.006077616e-02	         -7.255110408e-03		
          4.375000000e+01	          9.828280421e-03	         -7.273312445e-03		
          4.531250000e+01	          9.339735246e-03	         -7.220231147e-03		
          4.687500000e+01	          9.003851511e-03	         -7.149739469e-03		
          4.843750000e+01	          8.673373381e-03	         -7.113616500e-03		
          5.000000000e+01	          8.351972718e-03	         -6.873438194e-03		
          5.156250000e+01	          7.979852812e-03	         -6.996020459e-03		
          5.312500000e+01	          7.444725981e-03	         -6.839005664e-03		
          5.468750000e+01	          7.011393196e-03	         -6.498058970e-03		
          5.625000000e+01	          6.213732099e-03	         -6.051704108e-03		
          5.781250000e+01	          5.842170228e-03	         -3.780422536e-03		
          5.937500000e+01	          8.926437770e-03	         -3.706281789e-03		
          6.093750000e+01	          8.663331035e-03	         -5.405141271e-03		
          6.250000000e+01	          8.033270679e-03	         -5.774668917e-03		
          6.406250000e+01	          7.662226576e-03	         -5.769839200e-03		
          6.562500000e+01	          7.286531297e-03	         -5.811158463e-03		
          6.718750000e+01	          6.910295078e-03	         -5.613488805e-03		
          6.875000000e+01	          6.537687414e-03	         -5.546929581e-03		
          7.031250000e+01	          6.501266625e-03	         -5.347070709e-03		
          7.187500000e+01	          6.255101126e-03	         -5.398218449e-03		
          7.343750000e+01	          5.978524442e-03	         -5.124001922e-03		
          7.500000000e+01	          5.647224645e-03	         -4.975079960e-03		
          7.656250000e+01	          5.620306021e-03	         -4.501223748e-03		
          7.812500000e+01	          5.453053245e-03	         -4.153728408e-03		
          7.968750000e+01	          5.789767005e-03	         -3.732862705e-03		
          8.125000000e+01	          6.123064938e-03	         -3.753405145e-03		
          8.281250000e+01	          6.279739746e-03	         -4.021091260e-03		
          8.437500000e+01	          5.748192846e-03	         -4.261897878e-03		
          8.593750000e+01	          6.139210718e-03	         -3.997246196e-03		
          8.750000000e+01	          6.212100161e-03	         -3.953313780e-03		
          8.906250000e+01	          6.471025624e-03	         -4.010765908e-03		
          9.062500000e+01	          6.252042761e-03	         -4.547164937e-03		
          9.218750000e+01	          6.111426742e-03	         -4.606253941e-03		
          9.375000000e+01	          5.790340234e-03	         -4.690002079e-03		
          9.531250000e+01	          5.590237104e-03	         -4.692498610e-03		
          9.687500000e+01	          5.352799967e-03	         -4.605963337e-03		
          9.843750000e+01	          5.253254013e-03	         -4.767331107e-03		
          1.000000000e+02	          5.010690478e-03	         -4.798474309e-03		
          1.015625000e+02	          4.799436529e-03	         -4.817409123e-03		
          1.031250000e+02	          4.557078886e-03	         -4.724568703e-03		
          1.046875000e+02	          4.270706014e-03	         -4.710901221e-03		
          1.062500000e+02	          4.189475681e-03	         -4.646003185e-03		
          1.078125000e+02	          4.074451766e-03	         -4.539840209e-03		
          1.093750000e+02	          3.900286424e-03	         -4.470540194e-03		
          1.109375000e+02	          3.847650338e-03	         -4.430488191e-03		
          1.125000000e+02	          3.541776640e-03	         -4.434688456e-03		
          1.140625000e+02	          3.441688227e-03	         -4.349250260e-03		
          1.156250000e+02	          3.169513522e-03	         -4.323899375e-03		
          1.171875000e+02	          3.028264633e-03	         -4.266682770e-03		
          1.187500000e+02	          2.804574373e-03	         -4.168286315e-03		
          1.203125000e+02	          2.507640057e-03	         -4.248970770e-03		
          1.218750000e+02	          2.272229928e-03	         -3.994196948e-03		
          1.234375000e+02	          2.162288345e-03	         -3.723294821e-03		
          1.250000000e+02	          2.037151807e-03	         -3.524594944e-03		
          1.265625000e+02	          1.982319290e-03	         -3.502518953e-03		
          1.281250000e+02	          1.887568865e-03	         -3.292034628e-03		
          1.296875000e+02	          1.834477880e-03	         -3.153129561e-03		
          1.312500000e+02	          1.786588698e-03	         -3.055395606e-03		
          1.328125000e+02	          1.541710022e-03	         -2.937791398e-03		
          1.343750000e+02	          1.456022912e-03	         -2.769178483e-03		
