Resolution	1.5625 Hz			
Span	1250 Hz			
Bandwidth	1600 Hz			
Sample frequency	3200 Hz			
Frequency resolution	1.5625 Hz			
X axis increment	1.5625 Hz			
X axis	0-1600 Hz			
X axis quantity	Frequency			
X axis unit	Hz			
Number of lines	1025			
Value type	Complex			
Y axis quantity	AccelerationOverForce			
Y axis unit	g/N			
Reference actual sensitivity	0.23 mV/N			
Reference transducer sn				
Reference transducer id				
Reference user comment				
Reference user channel id				
Reference channel id	6			
Reference DOF id	test:2:-Y			
Reference point direction sign	-			
Reference point direction absolute	Y			
Reference point direction	-Y			
Reference point id node	2			
Reference point id component	test			
Reference point id	test:2			
Position ID	P2			
HW Range	3.16 V			
User Range	3.16 V			
PhysicalChannelId	Input2			
Channel group	Group 1			
Channelgroup	Vibration			
Measured quantity	Acceleration			
Polarity	+			
Offset EU	0 g			
Actual sensitivity	10 mV/g			
Transducer sn				
Transducer id				
Cylinder offset	0 бу			
User channel ID 3				
User comment				
User channel id				
Channel id	4			
Channel name	C2			
Driving point	0			
DOF id	test:3:+Y			
Point direction sign	+			
Point direction absolute	Y			
Point direction	+Y			
Point id node	3			
Point id component	test			
Point id	test:3			
Overload	0			
Original run	Run 2			
Original section	EXP06_2			
Original project	0718impact_test			
Original project dir	E:\EXP\EXP06\0718impact_test.lms			
FRF scaling	GlobalScaling			
FRF estimation method	H1			
Average parameter	0.5			
Average type	Linear average			
Number of averages	5			
Reference number of windows	2			
Reference window type	Force*Exponential			
Reference window exponent	100 %			
Reference window width	3.4668 %			
Reference window correction mode	amplitude			
Lower Limit EU	-316 g			
Upper Limit EU	316 g			
Window type	Exponential			
Window exponent	100 %			
Window correction mode	amplitude			
Function class	FRF			
Weighting	Linear			
Modified	Thu Apr 03 2025 13:33:45			
Created	Thu Apr 03 2025 13:33:45			
          0.000000000e+00	          3.786295766e-03	          0.000000000e+00		
          1.562500000e+00	          1.374734743e-02	         -3.518828459e-03		
          3.125000000e+00	          1.082035148e-02	         -4.730459408e-03		
          4.687500000e+00	          8.956400703e-03	         -5.303177420e-03		
          6.250000000e+00	          7.429189138e-03	         -5.168070332e-03		
          7.812500000e+00	          7.012753144e-03	         -5.400286102e-03		
          9.375000000e+00	          5.704732614e-03	         -4.306131154e-03		
          1.093750000e+01	          5.665354127e-03	         -3.858820910e-03		
          1.250000000e+01	          5.657051603e-03	         -3.846415368e-03		
          1.406250000e+01	          5.501650132e-03	         -3.735004054e-03		
          1.562500000e+01	          6.051992812e-03	         -2.865488101e-03		
          1.718750000e+01	          8.815298065e-03	         -5.221611278e-03		
          1.875000000e+01	          2.782331617e-03	         -4.647321348e-03		
          2.031250000e+01	          3.644073640e-03	         -4.080048068e-03		
          2.187500000e+01	          4.233384544e-03	         -4.606601146e-03		
          2.343750000e+01	          4.002010574e-03	         -4.606071981e-03		
          2.500000000e+01	          3.620721273e-03	         -4.808965666e-03		
          2.656250000e+01	          3.287408524e-03	         -4.738172747e-03		
          2.812500000e+01	          3.027699951e-03	         -4.746594551e-03		
          2.968750000e+01	          2.711005165e-03	         -4.769828778e-03		
          3.125000000e+01	          2.497657731e-03	         -4.724664432e-03		
          3.281250000e+01	          2.096066259e-03	         -4.792762525e-03		
          3.437500000e+01	          1.937431682e-03	         -4.546639951e-03		
          3.593750000e+01	          1.909125379e-03	         -4.625386669e-03		
          3.750000000e+01	          1.547695315e-03	         -4.663847381e-03		
          3.906250000e+01	          1.443142813e-03	         -4.614470613e-03		
          4.062500000e+01	          1.093852854e-03	         -4.792889783e-03		
          4.218750000e+01	          6.711799478e-04	         -4.476693772e-03		
          4.375000000e+01	          5.199622658e-04	         -4.576896527e-03		
          4.531250000e+01	          2.571024485e-04	         -4.491122522e-03		
          4.687500000e+01	         -9.886981336e-05	         -4.535812026e-03		
          4.843750000e+01	         -6.637901661e-04	         -4.473056099e-03		
          5.000000000e+01	         -1.016598090e-03	         -4.300069506e-03		
          5.156250000e+01	         -1.303679047e-03	         -4.193237572e-03		
          5.312500000e+01	         -2.068229101e-03	         -3.987402904e-03		
          5.468750000e+01	         -2.582872372e-03	         -3.350365404e-03		
          5.625000000e+01	         -3.825804930e-03	         -2.912802154e-03		
          5.781250000e+01	         -4.080970402e-03	          4.653940935e-04		
          5.937500000e+01	          1.053445739e-04	          5.345112459e-04		
          6.093750000e+01	         -1.793013790e-04	         -1.660670190e-03		
          6.250000000e+01	         -8.089261621e-04	         -2.112776912e-03		
          6.406250000e+01	         -1.396827354e-03	         -1.905388370e-03		
          6.562500000e+01	         -1.728392018e-03	         -1.747197485e-03		
          6.718750000e+01	         -1.785437110e-03	         -1.349549484e-03		
          6.875000000e+01	         -1.722816989e-03	         -1.441005263e-03		
          7.031250000e+01	         -1.750132770e-03	         -1.445559096e-03		
          7.187500000e+01	         -2.195163582e-03	         -1.558273948e-03		
          7.343750000e+01	         -2.535141218e-03	         -1.262573273e-03		
          7.500000000e+01	         -2.901835574e-03	         -1.027300942e-03		
          7.656250000e+01	         -2.971152113e-03	         -3.197474520e-04		
          7.812500000e+01	         -2.902298451e-03	          2.291163080e-04		
          7.968750000e+01	         -2.439835987e-03	          9.263745272e-04		
          8.125000000e+01	         -1.890628749e-03	          9.368857328e-04		
          8.281250000e+01	         -1.449294871e-03	          7.002315160e-04		
          8.437500000e+01	         -2.003630786e-03	          7.335956974e-04		
          8.593750000e+01	         -1.006969997e-03	          9.904549792e-04		
          8.750000000e+01	         -2.307980572e-04	          5.612123918e-04		
          8.906250000e+01	          4.916324580e-04	         -6.299162651e-05		
          9.062500000e+01	          9.775269922e-05	         -1.399511353e-03		
          9.218750000e+01	         -6.448276211e-04	         -1.956897180e-03		
          9.375000000e+01	         -1.306765047e-03	         -2.571082226e-03		
          9.531250000e+01	         -2.365027611e-03	         -2.838593409e-03		
          9.687500000e+01	         -3.927876285e-03	         -2.435457750e-03		
          9.843750000e+01	         -4.489448417e-03	         -1.296961357e-03		
          1.000000000e+02	         -4.288116015e-03	         -3.566188191e-04		
          1.015625000e+02	         -3.990754151e-03	         -2.200980068e-04		
          1.031250000e+02	         -4.006503343e-03	         -1.309534993e-04		
          1.046875000e+02	         -4.087403566e-03	         -5.611226466e-05		
          1.062500000e+02	         -4.146691244e-03	          3.801735764e-05		
          1.078125000e+02	         -4.438142270e-03	          1.633178289e-04		
          1.093750000e+02	         -4.521305782e-03	          2.582121551e-04		
          1.109375000e+02	         -4.768002345e-03	          5.077513145e-04		
          1.125000000e+02	         -4.965051669e-03	          7.192835212e-04		
          1.140625000e+02	         -5.071236299e-03	          9.832040413e-04		
          1.156250000e+02	         -5.113632124e-03	          1.230362246e-03		
          1.171875000e+02	         -5.179820591e-03	          1.509866998e-03		
          1.187500000e+02	         -5.114712486e-03	          1.762012187e-03		
          1.203125000e+02	         -4.924368315e-03	          1.882873054e-03		
          1.218750000e+02	         -4.728099251e-03	          1.809275147e-03		
          1.234375000e+02	         -4.983499105e-03	          1.554530291e-03		
          1.250000000e+02	         -5.334690619e-03	          1.539066954e-03		
          1.265625000e+02	         -5.596437025e-03	          1.693028987e-03		
          1.281250000e+02	         -5.855371226e-03	          1.833462287e-03		
          1.296875000e+02	         -6.077360031e-03	          2.006832933e-03		
          1.312500000e+02	         -6.225371435e-03	          2.282468289e-03		
          1.328125000e+02	         -6.373677621e-03	          2.451687292e-03		
