Resolution	1.5625 Hz			
Span	1250 Hz			
Bandwidth	1600 Hz			
Sample frequency	3200 Hz			
Frequency resolution	1.5625 Hz			
X axis increment	1.5625 Hz			
X axis	0-1600 Hz			
X axis quantity	Frequency			
X axis unit	Hz			
Number of lines	1025			
Value type	Complex			
Y axis quantity	AccelerationOverForce			
Y axis unit	g/N			
Reference actual sensitivity	0.23 mV/N			
Reference transducer sn				
Reference transducer id				
Reference user comment				
Reference user channel id				
Reference channel id	6			
Reference DOF id	test:3:-Y			
Reference point direction sign	-			
Reference point direction absolute	Y			
Reference point direction	-Y			
Reference point id node	3			
Reference point id component	test			
Reference point id	test:3			
Position ID	P3			
HW Range	10 V			
User Range	10 V			
PhysicalChannelId	Input3			
Channel group	Group 1			
Channelgroup	Vibration			
Measured quantity	Acceleration			
Polarity	+			
Offset EU	0 g			
Actual sensitivity	10 mV/g			
Transducer sn				
Transducer id				
Cylinder offset	0 бу			
User channel ID 3				
User comment				
User channel id				
Channel id	5			
Channel name	C3			
Driving point	0			
DOF id	test:3:-Z			
Point direction sign	-			
Point direction absolute	Z			
Point direction	-Z			
Point id node	3			
Point id component	test			
Point id	test:3			
Overload	0			
Original run	Run 3			
Original section	EXP06_2			
Original project	0718impact_test			
Original project dir	E:\EXP\EXP06\0718impact_test.lms			
FRF scaling	GlobalScaling			
FRF estimation method	H1			
Average parameter	0.5			
Average type	Linear average			
Number of averages	5			
Reference number of windows	2			
Reference window type	Force*Exponential			
Reference window exponent	100 %			
Reference window width	3.4668 %			
Reference window correction mode	amplitude			
Lower Limit EU	-1000 g			
Upper Limit EU	1000 g			
Window type	Exponential			
Window exponent	100 %			
Window correction mode	amplitude			
Function class	FRF			
Weighting	Linear			
Modified	Thu Apr 03 2025 13:34:02			
Created	Thu Apr 03 2025 13:34:02			
          0.000000000e+00	         -1.158206245e-03	          0.000000000e+00		
          1.562500000e+00	          4.579371025e-03	         -8.270001820e-04		
          3.125000000e+00	          4.586234207e-03	         -1.173467964e-03		
          4.687500000e+00	          4.198591894e-03	         -1.618483675e-03		
          6.250000000e+00	          4.327083858e-03	         -1.592969540e-03		
          7.812500000e+00	          3.731824889e-03	         -2.394252639e-03		
          9.375000000e+00	          3.969896415e-03	         -2.018543115e-03		
          1.093750000e+01	          4.275832792e-03	         -2.471942738e-03		
          1.250000000e+01	          4.317953969e-03	         -2.419297155e-03		
          1.406250000e+01	          5.350752067e-03	         -3.074056721e-03		
          1.562500000e+01	          6.033540818e-03	         -4.673069580e-03		
          1.718750000e+01	          1.328000985e-02	         -6.955915653e-03		
          1.875000000e+01	         -7.800284144e-03	         -4.469730303e-03		
          2.031250000e+01	         -1.513326699e-03	         -3.452770668e-03		
          2.187500000e+01	         -5.741654267e-04	         -2.756663918e-03		
          2.343750000e+01	          2.473545521e-04	         -2.678071049e-03		
          2.500000000e+01	          7.421304191e-04	         -2.697503498e-03		
          2.656250000e+01	          1.227367320e-03	         -2.611541645e-03		
          2.812500000e+01	          1.390319449e-03	         -2.865470627e-03		
          2.968750000e+01	          1.427695716e-03	         -2.986875283e-03		
          3.125000000e+01	          1.817484791e-03	         -2.913025140e-03		
          3.281250000e+01	          2.052766144e-03	         -3.201519417e-03		
          3.437500000e+01	          1.909191477e-03	         -3.535585836e-03		
          3.593750000e+01	          1.859906448e-03	         -3.322924074e-03		
          3.750000000e+01	          2.050475694e-03	         -3.124227426e-03		
          3.906250000e+01	          2.097697248e-03	         -3.190183600e-03		
          4.062500000e+01	          2.335134005e-03	         -3.110559373e-03		
          4.218750000e+01	          2.596066152e-03	         -3.261394760e-03		
          4.375000000e+01	          2.742291009e-03	         -3.280623217e-03		
          4.531250000e+01	          2.867985772e-03	         -3.353243708e-03		
          4.687500000e+01	          3.129197696e-03	         -3.301878680e-03		
          4.843750000e+01	          3.327968419e-03	         -3.235308440e-03		
          5.000000000e+01	          3.687138044e-03	         -3.291441265e-03		
          5.156250000e+01	          3.853683495e-03	         -3.298435883e-03		
          5.312500000e+01	          4.238579320e-03	         -3.264107819e-03		
          5.468750000e+01	          4.532940939e-03	         -3.262312535e-03		
          5.625000000e+01	          4.888043254e-03	         -3.265435858e-03		
          5.781250000e+01	          5.575653745e-03	         -2.823469870e-03		
          5.937500000e+01	          6.567177024e-03	         -3.483005591e-03		
          6.093750000e+01	          6.939055330e-03	         -4.028771171e-03		
          6.250000000e+01	          7.300832789e-03	         -4.406946266e-03		
          6.406250000e+01	          7.878165889e-03	         -4.828284532e-03		
          6.562500000e+01	          8.316778921e-03	         -5.344552145e-03		
          6.718750000e+01	          8.118322923e-03	         -5.728604649e-03		
          6.875000000e+01	          8.290385283e-03	         -5.588513996e-03		
          7.031250000e+01	          9.204243346e-03	         -5.555993752e-03		
          7.187500000e+01	          1.033759178e-02	         -6.095506607e-03		
          7.343750000e+01	          1.135038192e-02	         -6.974306868e-03		
          7.500000000e+01	          1.226649492e-02	         -7.954564607e-03		
          7.656250000e+01	          1.282675496e-02	         -9.665474828e-03		
          7.812500000e+01	          1.323519233e-02	         -1.146778499e-02		
          7.968750000e+01	          1.238786235e-02	         -1.369078573e-02		
          8.125000000e+01	          1.165572380e-02	         -1.427761643e-02		
          8.281250000e+01	          1.146116986e-02	         -1.479513687e-02		
          8.437500000e+01	          1.314531721e-02	         -1.747102175e-02		
          8.593750000e+01	          9.260740470e-03	         -1.904535287e-02		
          8.750000000e+01	          6.502528566e-03	         -1.928977892e-02		
          8.906250000e+01	          2.667340941e-03	         -1.847918730e-02		
          9.062500000e+01	          3.495940297e-03	         -1.515665222e-02		
          9.218750000e+01	          4.231781096e-03	         -1.544197702e-02		
          9.375000000e+01	          5.225240973e-03	         -1.664655561e-02		
          9.531250000e+01	          3.175675267e-03	         -1.750165022e-02		
          9.687500000e+01	          1.936967595e-04	         -1.728455533e-02		
          9.843750000e+01	         -7.083748726e-04	         -1.355448090e-02		
          1.000000000e+02	          8.940728056e-04	         -1.107100823e-02		
          1.015625000e+02	          3.150496465e-03	         -1.089883646e-02		
          1.031250000e+02	          4.415997141e-03	         -1.117038324e-02		
          1.046875000e+02	          5.153265127e-03	         -1.179140639e-02		
          1.062500000e+02	          5.630934133e-03	         -1.229601188e-02		
          1.078125000e+02	          5.915875640e-03	         -1.281679011e-02		
          1.093750000e+02	          6.130899457e-03	         -1.311973194e-02		
          1.109375000e+02	          6.156135620e-03	         -1.365371459e-02		
          1.125000000e+02	          6.137718954e-03	         -1.417725831e-02		
          1.140625000e+02	          6.017008326e-03	         -1.447710493e-02		
          1.156250000e+02	          5.777832887e-03	         -1.475989673e-02		
          1.171875000e+02	          5.594553611e-03	         -1.500159225e-02		
          1.187500000e+02	          5.144918918e-03	         -1.515045419e-02		
          1.203125000e+02	          4.751219896e-03	         -1.516568258e-02		
          1.218750000e+02	          4.559817777e-03	         -1.472649670e-02		
          1.234375000e+02	          4.637445766e-03	         -1.453191465e-02		
          1.250000000e+02	          4.626522492e-03	         -1.457468238e-02		
          1.265625000e+02	          4.537938560e-03	         -1.449557288e-02		
          1.281250000e+02	          4.355922745e-03	         -1.447380155e-02		
          1.296875000e+02	          4.187971380e-03	         -1.442048549e-02		
          1.312500000e+02	          3.883178424e-03	         -1.441406410e-02		
          1.328125000e+02	          3.423686383e-03	         -1.400013223e-02		
          1.343750000e+02	          2.942111134e-03	         -1.349180778e-02		
