Resolution	1.5625 Hz			
Span	1250 Hz			
Bandwidth	1600 Hz			
Sample frequency	3200 Hz			
Frequency resolution	1.5625 Hz			
X axis increment	1.5625 Hz			
X axis	0-1600 Hz			
X axis quantity	Frequency			
X axis unit	Hz			
Number of lines	1025			
Value type	Complex			
Y axis quantity	AccelerationOverForce			
Y axis unit	g/N			
Reference actual sensitivity	0.23 mV/N			
Reference transducer sn				
Reference transducer id				
Reference user comment				
Reference user channel id				
Reference channel id	6			
Reference DOF id	test:2:-Y			
Reference point direction sign	-			
Reference point direction absolute	Y			
Reference point direction	-Y			
Reference point id node	2			
Reference point id component	test			
Reference point id	test:2			
Position ID	P2			
HW Range	3.16 V			
User Range	3.16 V			
PhysicalChannelId	Input2			
Channel group	Group 1			
Channelgroup	Vibration			
Measured quantity	Acceleration			
Polarity	+			
Offset EU	0 g			
Actual sensitivity	10 mV/g			
Transducer sn				
Transducer id				
Cylinder offset	0 бу			
User channel ID 3				
User comment				
User channel id				
Channel id	4			
Channel name	C2			
Driving point	0			
DOF id	test:4:+Y			
Point direction sign	+			
Point direction absolute	Y			
Point direction	+Y			
Point id node	4			
Point id component	test			
Point id	test:4			
Overload	0			
Original run	Run 2			
Original section	EXP06_ap8			
Original project	0718impact_test			
Original project dir	E:\EXP\EXP06\0718impact_test.lms			
FRF scaling	GlobalScaling			
FRF estimation method	H1			
Average parameter	0.5			
Average type	Linear average			
Number of averages	5			
Reference number of windows	2			
Reference window type	Force*Exponential			
Reference window exponent	100 %			
Reference window width	3.4668 %			
Reference window correction mode	amplitude			
Lower Limit EU	-316 g			
Upper Limit EU	316 g			
Window type	Exponential			
Window exponent	100 %			
Window correction mode	amplitude			
Function class	FRF			
Weighting	Linear			
Modified	Thu Apr 03 2025 14:37:14			
Created	Thu Apr 03 2025 14:37:14			
          0.000000000e+00	          1.411452214e-03	          0.000000000e+00		
          1.562500000e+00	          9.693702498e-03	         -3.516553774e-03		
          3.125000000e+00	          7.500820439e-03	         -3.096219894e-03		
          4.687500000e+00	          6.704772666e-03	         -2.268608210e-03		
          6.250000000e+00	          6.260049363e-03	         -1.972913423e-03		
          7.812500000e+00	          6.166731062e-03	         -2.145522801e-03		
          9.375000000e+00	          6.277596498e-03	         -1.958521521e-03		
          1.093750000e+01	          6.118844160e-03	         -2.473455776e-03		
          1.250000000e+01	          6.027202622e-03	         -2.444097792e-03		
          1.406250000e+01	          5.667931571e-03	         -2.319411784e-03		
          1.562500000e+01	          5.947041254e-03	         -1.876068943e-03		
          1.718750000e+01	          8.549996419e-03	         -2.814375689e-03		
          1.875000000e+01	          3.680863287e-03	         -3.639267096e-03		
          2.031250000e+01	          4.247270074e-03	         -3.268614643e-03		
          2.187500000e+01	          5.038981207e-03	         -3.738251976e-03		
          2.343750000e+01	          4.510114697e-03	         -3.792575841e-03		
          2.500000000e+01	          4.364238184e-03	         -3.858121562e-03		
          2.656250000e+01	          4.159201251e-03	         -3.957544056e-03		
          2.812500000e+01	          3.867320968e-03	         -3.902859690e-03		
          2.968750000e+01	          3.592814977e-03	         -4.026168655e-03		
          3.125000000e+01	          3.172320220e-03	         -4.201507806e-03		
          3.281250000e+01	          2.921899754e-03	         -4.075413606e-03		
          3.437500000e+01	          2.754791519e-03	         -4.039055117e-03		
          3.593750000e+01	          2.705803172e-03	         -3.854548468e-03		
          3.750000000e+01	          2.569558172e-03	         -4.076688843e-03		
          3.906250000e+01	          2.348014389e-03	         -4.024175456e-03		
          4.062500000e+01	          2.105884670e-03	         -4.042112342e-03		
          4.218750000e+01	          1.917996004e-03	         -3.996723110e-03		
          4.375000000e+01	          1.774324659e-03	         -4.024526460e-03		
          4.531250000e+01	          1.681407506e-03	         -3.970722261e-03		
          4.687500000e+01	          1.409519036e-03	         -3.960032990e-03		
          4.843750000e+01	          1.095979388e-03	         -4.058951012e-03		
          5.000000000e+01	          9.494871944e-04	         -3.953397733e-03		
          5.156250000e+01	          6.995164034e-04	         -3.857756503e-03		
          5.312500000e+01	          2.931325137e-04	         -3.885944665e-03		
          5.468750000e+01	         -1.142356885e-04	         -3.747014527e-03		
          5.625000000e+01	         -7.110426794e-04	         -3.675386265e-03		
          5.781250000e+01	         -1.570338458e-03	         -2.340294782e-03		
          5.937500000e+01	          1.288278318e-04	         -1.302732306e-03		
          6.093750000e+01	          3.331217433e-04	         -1.955762877e-03		
          6.250000000e+01	          1.546380785e-04	         -2.235299727e-03		
          6.406250000e+01	         -6.684562520e-05	         -2.068917622e-03		
          6.562500000e+01	         -1.333243872e-04	         -1.959074427e-03		
          6.718750000e+01	         -9.765363968e-06	         -1.461893104e-03		
          6.875000000e+01	          4.782410486e-05	         -1.244583015e-03		
          7.031250000e+01	          6.162342759e-04	         -1.250389388e-03		
          7.187500000e+01	          3.429588152e-04	         -1.487280361e-03		
          7.343750000e+01	          2.325041658e-04	         -1.482524625e-03		
          7.500000000e+01	          1.070301693e-04	         -1.295958490e-03		
          7.656250000e+01	          8.765225012e-05	         -8.935144859e-04		
          7.812500000e+01	          2.157824495e-04	         -4.764310445e-04		
          7.968750000e+01	          7.884330578e-04	          8.316257995e-05		
          8.125000000e+01	          1.743342525e-03	         -1.745605054e-04		
          8.281250000e+01	          1.974370619e-03	         -5.652660736e-04		
          8.437500000e+01	          1.701110615e-03	         -9.565309111e-04		
          8.593750000e+01	          2.437478299e-03	         -8.826413555e-04		
          8.750000000e+01	          2.843689987e-03	         -1.359276060e-03		
          8.906250000e+01	          3.271193227e-03	         -1.574602067e-03		
          9.062500000e+01	          3.582097215e-03	         -2.736597839e-03		
          9.218750000e+01	          2.998371597e-03	         -3.479402107e-03		
          9.375000000e+01	          2.602802646e-03	         -4.295379963e-03		
          9.531250000e+01	          1.564004060e-03	         -4.769532857e-03		
          9.687500000e+01	          9.290461803e-05	         -5.072899387e-03		
          9.843750000e+01	         -9.907421638e-04	         -4.069456804e-03		
          1.000000000e+02	         -1.269958211e-03	         -2.380074986e-03		
          1.015625000e+02	         -2.924341631e-04	         -1.975305679e-03		
          1.031250000e+02	          2.902226144e-05	         -2.033120206e-03		
          1.046875000e+02	          8.538390440e-05	         -2.198153569e-03		
          1.062500000e+02	          1.537392019e-04	         -2.274519048e-03		
          1.078125000e+02	          4.161517591e-05	         -2.326456546e-03		
          1.093750000e+02	          1.703878489e-05	         -2.328773586e-03		
          1.109375000e+02	          9.720245040e-06	         -2.204609906e-03		
          1.125000000e+02	         -1.450491949e-04	         -2.194829672e-03		
          1.140625000e+02	         -1.750168170e-04	         -2.072596511e-03		
          1.156250000e+02	         -1.207524489e-04	         -2.003421475e-03		
          1.171875000e+02	         -5.330072895e-05	         -1.951088148e-03		
          1.187500000e+02	          5.077892425e-05	         -1.817960963e-03		
          1.203125000e+02	          2.543365630e-04	         -1.739946832e-03		
          1.218750000e+02	          5.493084261e-04	         -1.859561713e-03		
          1.234375000e+02	          5.935946942e-04	         -2.213309967e-03		
          1.250000000e+02	          4.866258626e-04	         -2.486154580e-03		
          1.265625000e+02	          3.840784307e-04	         -2.673325284e-03		
          1.281250000e+02	          1.914054670e-04	         -2.779642679e-03		
          1.296875000e+02	          8.070587021e-05	         -2.933761506e-03		
          1.312500000e+02	          5.604447572e-06	         -2.917762737e-03		
          1.328125000e+02	         -1.613772431e-04	         -2.998834853e-03		
