开始记录数据...	开始记录数据...	程序停止
主轴数据: 3021	采集数据: X = 0.028647, Y = -0.077229, Z = 0.039235	
主轴数据: 3021	t = 27.6 s, 稳定, fc = NaN Hz, Xf = 0.0731, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 2991	采集数据: X = -0.063473, Y = -0.034413, Z = 0.024122	
主轴数据: 2991	t = 27.7 s, 稳定, fc = NaN Hz, Xf = 0.0746, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 2991	采集数据: X = 0.075103, Y = -0.099642, Z = -0.14468	
主轴数据: 2991	t = 27.8 s, 稳定, fc = NaN Hz, Xf = 0.0720, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3002	采集数据: X = -0.16345, Y = 0.074362, Z = 0.039357	
主轴数据: 2995	t = 27.9 s, 稳定, fc = NaN Hz, Xf = 0.0721, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 2995	采集数据: X = 0.097143, Y = 0.077651, Z = 0.05971	
主轴数据: 3007	t = 28.0 s, 稳定, fc = NaN Hz, Xf = 0.0733, n_new = NaN rpm, pass = 0.0005 s	
主轴数据: 3007	采集数据: X = -0.014765, Y = 0.18515, Z = -0.087701	
主轴数据: 3016	t = 28.1 s, 稳定, fc = NaN Hz, Xf = 0.0731, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3016	采集数据: X = -0.048008, Y = -0.14763, Z = 0.02857	
主轴数据: 3005	t = 28.2 s, 稳定, fc = NaN Hz, Xf = 0.0722, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3005	采集数据: X = 0.07285, Y = -0.039346, Z = -0.088554	
主轴数据: 2998	t = 28.3 s, 稳定, fc = NaN Hz, Xf = 0.0720, n_new = NaN rpm, pass = 0.0005 s	
主轴数据: 2998	采集数据: X = -0.021279, Y = -0.059993, Z = -0.076732	
主轴数据: 2991	t = 28.4 s, 稳定, fc = NaN Hz, Xf = 0.0711, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 2991	采集数据: X = -0.13745, Y = -0.015167, Z = 0.13497	
主轴数据: 2998	t = 28.5 s, 稳定, fc = NaN Hz, Xf = 0.0734, n_new = NaN rpm, pass = 0.0007 s	
主轴数据: 2998	采集数据: X = 0.074555, Y = 0.12175, Z = 0.071593	
主轴数据: 2998	t = 28.6 s, 稳定, fc = NaN Hz, Xf = 0.0757, n_new = NaN rpm, pass = 0.0005 s	
主轴数据: 2995	采集数据: X = 0.088985, Y = 0.047564, Z = -0.16966	
主轴数据: 2995	t = 28.7 s, 稳定, fc = NaN Hz, Xf = 0.0734, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3000	采集数据: X = -0.037171, Y = -0.15683, Z = 0.062087	
主轴数据: 3000	t = 28.8 s, 稳定, fc = NaN Hz, Xf = 0.0741, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3005	采集数据: X = 0.087158, Y = -0.0046309, Z = -0.17643	
主轴数据: 3005	t = 28.9 s, 稳定, fc = NaN Hz, Xf = 0.0736, n_new = NaN rpm, pass = 0.0005 s	
主轴数据: 3019	采集数据: X = -0.058237, Y = -0.083441, Z = -0.15473	
主轴数据: 3019	t = 29.0 s, 稳定, fc = NaN Hz, Xf = 0.0734, n_new = NaN rpm, pass = 0.0007 s	
主轴数据: 3005	采集数据: X = 0.0062409, Y = -0.025643, Z = 0.11407	
主轴数据: 3005	t = 29.1 s, 稳定, fc = NaN Hz, Xf = 0.0735, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3019	采集数据: X = 0.20863, Y = 0.26091, Z = 0.12479	
主轴数据: 3019	t = 29.2 s, 稳定, fc = NaN Hz, Xf = 0.0692, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3019	采集数据: X = 0.15255, Y = -0.011878, Z = -0.13408	
主轴数据: 3000	t = 29.3 s, 稳定, fc = NaN Hz, Xf = 0.0711, n_new = NaN rpm, pass = 0.0005 s	
主轴数据: 3000	采集数据: X = 0.044051, Y = -0.021136, Z = 0.0015744	
主轴数据: 2988	t = 29.4 s, 稳定, fc = NaN Hz, Xf = 0.0738, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 2988	采集数据: X = 0.10427, Y = -0.023998, Z = -0.18374	
主轴数据: 3019	t = 29.5 s, 稳定, fc = NaN Hz, Xf = 0.0701, n_new = NaN rpm, pass = 0.0005 s	
主轴数据: 3019	采集数据: X = -0.070171, Y = -0.084659, Z = -0.13176	
主轴数据: 3002	t = 29.6 s, 稳定, fc = NaN Hz, Xf = 0.0720, n_new = NaN rpm, pass = 0.0006 s	
主轴数据: 3002	采集数据: X = 0.0060583, Y = -0.028262, Z = 0.11821	
主轴数据: 2988	t = 29.7 s, 稳定, fc = NaN Hz, Xf = 0.0730, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 2988	采集数据: X = 0.14744, Y = 0.098419, Z = 0.05063	
主轴数据: 2998	t = 29.8 s, 稳定, fc = NaN Hz, Xf = 0.0737, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 2998	采集数据: X = 0.20455, Y = -0.030089, Z = -0.12902	
主轴数据: 2998	t = 29.9 s, 稳定, fc = NaN Hz, Xf = 0.0740, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 2998	采集数据: X = 0.1246, Y = 0.042144, Z = 0.011568	
主轴数据: 3005	t = 30.0 s, 稳定, fc = NaN Hz, Xf = 0.0730, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3002	采集数据: X = 0.012269, Y = 0.043301, Z = -0.13986	
主轴数据: 3002	t = 30.1 s, 稳定, fc = NaN Hz, Xf = 0.0720, n_new = NaN rpm, pass = 0.0005 s	
主轴数据: 2988	采集数据: X = -0.14756, Y = -0.16682, Z = -0.13127	
主轴数据: 2988	t = 30.2 s, 稳定, fc = NaN Hz, Xf = 0.0423, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3007	采集数据: X = 0.041676, Y = -0.0011593, Z = 0.11736	
主轴数据: 3007	t = 30.3 s, 稳定, fc = NaN Hz, Xf = 0.0424, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 2988	采集数据: X = 0.12899, Y = 0.081122, Z = -0.10434	
主轴数据: 2988	t = 30.4 s, 稳定, fc = NaN Hz, Xf = 0.0414, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 3021	采集数据: X = 0.14512, Y = -0.02814, Z = -0.22749	
主轴数据: 3021	t = 30.5 s, 稳定, fc = NaN Hz, Xf = 0.0731, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 2998	采集数据: X = 0.024933, Y = 0.074301, Z = -0.16735	
主轴数据: 2998	t = 30.6 s, 稳定, fc = NaN Hz, Xf = 0.0730, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 3000	采集数据: X = 0.043929, Y = -0.060176, Z = -0.19185	
主轴数据: 3012	t = 30.7 s, 稳定, fc = NaN Hz, Xf = 0.0718, n_new = NaN rpm, pass = 0.0006 s	
主轴数据: 3012	采集数据: X = -0.098178, Y = -0.098241, Z = 0.032166	
