开始记录数据...	开始记录数据...	
主轴数据: 5020	采集数据: X = -0.12953, Y = 0.1804, Z = -0.007932	
主轴数据: 5020	t = 8.1 s, 稳定, fc = NaN Hz, Xf = 0.1118, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 4997	采集数据: X = 0.14348, Y = 0.020523, Z = -0.24005	
主轴数据: 4971	t = 8.2 s, 稳定, fc = NaN Hz, Xf = 0.1117, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 4971	采集数据: X = -0.17301, Y = -0.031855, Z = 0.20584	
主轴数据: 4964	t = 8.3 s, 稳定, fc = NaN Hz, Xf = 0.1114, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 4964	采集数据: X = -0.052575, Y = 0.20689, Z = -0.015976	
主轴数据: 4999	t = 8.4 s, 稳定, fc = NaN Hz, Xf = 0.1132, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 4999	采集数据: X = -0.10226, Y = -0.12102, Z = 0.11047	
主轴数据: 5016	t = 8.5 s, 稳定, fc = NaN Hz, Xf = 0.1117, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 5016	采集数据: X = 0.050079, Y = -0.031307, Z = -0.11287	
主轴数据: 5027	t = 8.6 s, 稳定, fc = NaN Hz, Xf = 0.1109, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 5027	采集数据: X = -0.063412, Y = -0.089166, Z = -0.19148	
主轴数据: 5027	t = 8.7 s, 稳定, fc = NaN Hz, Xf = 0.1099, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 5027	采集数据: X = -0.060003, Y = 0.18923, Z = 0.0075465	
主轴数据: 4976	t = 8.8 s, 稳定, fc = NaN Hz, Xf = 0.1108, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 4976	采集数据: X = 0.12625, Y = 0.015955, Z = -0.24888	
主轴数据: 4990	t = 8.9 s, 稳定, fc = NaN Hz, Xf = 0.1113, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 5002	采集数据: X = 0.014643, Y = 0.23204, Z = 0.32041	
主轴数据: 5002	t = 9.0 s, 稳定, fc = NaN Hz, Xf = 0.1099, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 4999	采集数据: X = 0.080095, Y = 0.16718, Z = -0.092332	
主轴数据: 4999	t = 9.1 s, 稳定, fc = NaN Hz, Xf = 0.1118, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 4959	采集数据: X = -0.11943, Y = -0.092394, Z = 0.15081	
主轴数据: 4959	t = 9.2 s, 稳定, fc = NaN Hz, Xf = 0.1100, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 4999	采集数据: X = 0.10287, Y = -0.00030668, Z = -0.044678	
主轴数据: 4999	t = 9.3 s, 稳定, fc = NaN Hz, Xf = 0.1107, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 5004	采集数据: X = -0.043807, Y = -0.052258, Z = -0.17381	
主轴数据: 5004	t = 9.4 s, 稳定, fc = NaN Hz, Xf = 0.1098, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 4992	采集数据: X = 0.04947, Y = 0.20019, Z = -0.059608	
主轴数据: 4992	t = 9.5 s, 稳定, fc = NaN Hz, Xf = 0.1111, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 5011	采集数据: X = 0.18117, Y = -0.054268, Z = -0.15882	
主轴数据: 5018	t = 9.6 s, 稳定, fc = NaN Hz, Xf = 0.1102, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 5018	采集数据: X = 0.13885, Y = 0.31347, Z = 0.097066	
主轴数据: 5013	t = 9.7 s, 稳定, fc = NaN Hz, Xf = 0.1109, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 5013	采集数据: X = 0.22281, Y = 0.074971, Z = -0.010979	
主轴数据: 5016	t = 9.8 s, 稳定, fc = NaN Hz, Xf = 0.1096, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 5016	采集数据: X = -0.024263, Y = 0.0046266, Z = 0.087133	
主轴数据: 4990	t = 9.9 s, 稳定, fc = NaN Hz, Xf = 0.1103, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 4990	采集数据: X = 0.048678, Y = -0.11621, Z = 0.017358	
主轴数据: 5011	t = 10.0 s, 稳定, fc = NaN Hz, Xf = 0.1095, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 5011	采集数据: X = 0.05702, Y = -0.27584, Z = -0.061558	
主轴数据: 5002	t = 10.1 s, 稳定, fc = NaN Hz, Xf = 0.0708, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 5002	采集数据: X = 0.11912, Y = 0.10043, Z = -0.04352	
主轴数据: 4980	t = 10.2 s, 稳定, fc = NaN Hz, Xf = 0.0530, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 4980	采集数据: X = 0.0068498, Y = 0.50952, Z = -0.17484	
主轴数据: 4990	t = 10.3 s, 稳定, fc = NaN Hz, Xf = 0.1000, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 4988	采集数据: X = 0.1327, Y = 0.37291, Z = -0.039559	
主轴数据: 4988	t = 10.4 s, 稳定, fc = NaN Hz, Xf = 0.1042, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 5013	采集数据: X = -0.64755, Y = -0.33699, Z = -0.10714	
主轴数据: 5013	t = 10.5 s, 稳定, fc = NaN Hz, Xf = 0.1393, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 4985	采集数据: X = 0.21203, Y = -0.64595, Z = 0.29883	
主轴数据: 4985	t = 10.6 s, 颤振, fc = 220.00 Hz, Xf = 0.2748, n_new = 6600.00 rpm, pass = 0.0030 s	
主轴数据: 5004	采集数据: X = -0.12539, Y = 0.21846, Z = -0.040412	
主轴数据: 5004	t = 10.7 s, 颤振, fc = 230.00 Hz, Xf = 0.3527, n_new = 6900.00 rpm, pass = 0.0015 s	
主轴数据: 4976	采集数据: X = 0.58295, Y = -0.42286, Z = 0.18201	
主轴数据: 4976	t = 10.8 s, 颤振, fc = 230.00 Hz, Xf = 0.4418, n_new = 6900.00 rpm, pass = 0.0018 s	
主轴数据: 5004	采集数据: X = -0.16753, Y = -0.56934, Z = 0.39091	
主轴数据: 5004	t = 10.9 s, 颤振, fc = 230.00 Hz, Xf = 0.4289, n_new = 6900.00 rpm, pass = 0.0019 s	
主轴数据: 4971	采集数据: X = -0.089898, Y = -0.15366, Z = 0.073543	
主轴数据: 5023	t = 11.0 s, 颤振, fc = 230.00 Hz, Xf = 0.3986, n_new = 6900.00 rpm, pass = 0.0024 s	
主轴数据: 5023	采集数据: X = -0.38659, Y = 0.31713, Z = 0.14832	
主轴数据: 4999	t = 11.1 s, 颤振, fc = 230.00 Hz, Xf = 0.3319, n_new = 6900.00 rpm, pass = 0.0004 s	
主轴数据: 4999	采集数据: X = 0.35907, Y = -0.70674, Z = -0.088798	
主轴数据: 5023	t = 11.2 s, 颤振, fc = 240.00 Hz, Xf = 0.2240, n_new = 7200.00 rpm, pass = 0.0003 s	
主轴数据: 5023	采集数据: X = -0.087889, Y = 0.32693, Z = 0.19658	
主轴数据: 5016	t = 11.3 s, 颤振, fc = 240.00 Hz, Xf = 0.2182, n_new = 7200.00 rpm, pass = 0.0003 s	
主轴数据: 5016	采集数据: X = 1.044, Y = -1.3964, Z = -0.015488	
主轴数据: 5016	t = 11.4 s, 稳定, fc = NaN Hz, Xf = 0.1946, n_new = NaN rpm, pass = 0.0005 s	
主轴数据: 5016	采集数据: X = 0.11504, Y = -0.0010984, Z = 0.086584	
主轴数据: 4950	t = 11.5 s, 稳定, fc = NaN Hz, Xf = 0.1998, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 4950	采集数据: X = 0.50203, Y = 0.052315, Z = -0.18776	
