开始记录数据...	开始记录数据...	
	采集数据: X = 0.065544, Y = -0.026983, Z = 0.19451	
主轴转速: 3000	t = 3556.4 s, 稳定, fc = NaN Hz, Xf = 0.0162, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.023228, Y = 0.014919, Z = -0.029504	
主轴转速: 3019	t = 3556.5 s, 稳定, fc = NaN Hz, Xf = 0.0171, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.0028919, Y = 0.018147, Z = -0.12164	
主轴转速: 3019	t = 3556.6 s, 稳定, fc = NaN Hz, Xf = 0.0283, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.004962, Y = 0.024725, Z = 0.054348	
主轴转速: 3002	t = 3556.7 s, 稳定, fc = NaN Hz, Xf = 0.0279, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.021158, Y = 0.018939, Z = -0.16308	
主轴转速: 3002	t = 3556.8 s, 稳定, fc = NaN Hz, Xf = 0.0282, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.060733, Y = 0.014798, Z = -0.091236	
主轴转速: 3021	t = 3556.9 s, 稳定, fc = NaN Hz, Xf = 0.0284, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.050627, Y = -0.01133, Z = 0.099564	
主轴转速: 3009	t = 3557.0 s, 稳定, fc = NaN Hz, Xf = 0.0286, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.0073369, Y = 0.034226, Z = -0.059791	
主轴转速: 3009	t = 3557.1 s, 稳定, fc = NaN Hz, Xf = 0.0286, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.03437, Y = 0.011022, Z = -0.088493	
主轴转速: 3016	t = 3557.2 s, 稳定, fc = NaN Hz, Xf = 0.0284, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.044843, Y = 0.031424, Z = -0.076793	
主轴转速: 3016	t = 3557.3 s, 稳定, fc = NaN Hz, Xf = 0.0284, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.029316, Y = 0.032582, Z = -0.25163	
主轴转速: 3019	t = 3557.4 s, 稳定, fc = NaN Hz, Xf = 0.0285, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.079669, Y = -0.028444, Z = 0.10548	
