检查报告																									
公司:		深圳力合精密装备科技有限公司																							
操作员:																									
日期:		2025年4月7日																							
时间:		21:31:44																							
工件温度:		20.0C																							
																									
PT1				  CRD2/MM/ANGDEC/CART/XYPLAN																					
	理论	实际	误差	下公差	上公差	趋势																			
X	3.0000	3.0004	0.0004	0.0000	0.0000	0.0004																			
Y	127.4999	127.5002	0.0003	0.0000	0.0000	0.0003																			
Z	-11.9999	-12.3413	-0.3414	0.0000	0.0000	-0.3414																			
I	-0.0000	-0.0000	0.0000																						
J	-0.0000	-0.0000	0.0000																						
K	1.0000	1.0000	0.0000																						
																									
PT2				  CRD2/MM/ANGDEC/CART/XYPLAN																					
	理论	实际	误差	下公差	上公差	趋势																			
X	10.5789	10.5796	0.0007	0.0000	0.0000	0.0007																			
Y	127.4999	127.4995	-0.0004	0.0000	0.0000	-0.0004																			
Z	-11.9999	-12.3366	-0.3367	0.0000	0.0000	-0.3367																			
I	-0.0000	-0.0000	0.0000																						
J	-0.0000	-0.0000	0.0000																						
K	1.0000	1.0000	0.0000																						
																									
PT3				  CRD2/MM/ANGDEC/CART/XYPLAN																					
	理论	实际	误差	下公差	上公差	趋势																			
X	18.1579	18.1585	0.0006	0.0000	0.0000	0.0006																			
Y	127.4999	127.4994	-0.0005	0.0000	0.0000	-0.0005																			
Z	-11.9999	-12.3402	-0.3403	0.0000	0.0000	-0.3403																			
I	-0.0000	-0.0000	0.0000																						
J	-0.0000	-0.0000	0.0000																						
K	1.0000	1.0000	0.0000																						
																									
PT4				  CRD2/MM/ANGDEC/CART/XYPLAN																					
	理论	实际	误差	下公差	上公差	趋势																			
X	25.7368	25.7374	0.0006	0.0000	0.0000	0.0006																			
Y	127.4999	127.4995	-0.0004	0.0000	0.0000	-0.0004																			
Z	-11.9999	-12.3378	-0.3379	0.0000	0.0000	-0.3379																			
I	-0.0000	-0.0000	0.0000																						
J	-0.0000	-0.0000	0.0000																						
K	1.0000	1.0000	0.0000																						
																									
PT5				  CRD2/MM/ANGDEC/CART/XYPLAN																					
	理论	实际	误差	下公差	上公差	趋势																			
X	33.3158	33.3162	0.0004	0.0000	0.0000	0.0004																			
Y	127.4999	127.4994	-0.0005	0.0000	0.0000	-0.0005																			
Z	-11.9999	-12.3192	-0.3193	0.0000	0.0000	-0.3193																			
I	-0.0000	-0.0000	0.0000																						
J	-0.0000	-0.0000	0.0000																						
K	1.0000	1.0000	0.0000																						
																									
PT6				  CRD2/MM/ANGDEC/CART/XYPLAN																					
	理论	实际	误差	下公差	上公差	趋势																			
X	40.8947	40.8953	0.0006	0.0000	0.0000	0.0006																			
Y	127.4999	127.4995	-0.0003	0.0000	0.0000	-0.0003																			
Z	-11.9999	-12.3121	-0.3122	0.0000	0.0000	-0.3122																			
I	-0.0000	-0.0000	0.0000																						
J	-0.0000	-0.0000	0.0000																						
K	1.0000	1.0000	0.0000																						
																									
PT7				  CRD2/MM/ANGDEC/CART/XYPLAN																					
	理论	实际	误差	下公差	上公差	趋势																			
X	48.4737	48.4743	0.0006	0.0000	0.0000	0.0006																			
Y	127.4999	127.4995	-0.0004	0.0000	0.0000	-0.0004																			
Z	-11.9999	-12.3040	-0.3041	0.0000	0.0000	-0.3041																			
I	-0.0000	-0.0000	0.0000																						
J	-0.0000	-0.0000	0.0000																						
K	1.0000	1.0000	0.0000																						
																									
PT8				  CRD2/MM/ANGDEC/CART/XYPLAN																					
	理论	实际	误差	下公差	上公差	趋势																			
X	56.0526	56.0532	0.0006	0.0000	0.0000	0.0006																			
Y	127.4999	127.4993	-0.0006	0.0000	0.0000	-0.0006																			
Z	-11.9999	-12.2671	-0.2672	0.0000	0.0000	-0.2672																			
I	-0.0000	-0.0000	0.0000																						
J	-0.0000	-0.0000	0.0000																						
K	1.0000	1.0000	0.0000																						
																									
PT9				  CRD2/MM/ANGDEC/CART/XYPLAN																					
	理论	实际	误差	下公差	上公差	趋势																			
X	63.6316	63.6321	0.0005	0.0000	0.0000	0.0005																			
Y	127.4999	127.4995	-0.0004	0.0000	0.0000	-0.0004																			
Z	-11.9999	-12.2516	-0.2517	0.0000	0.0000	-0.2517																			
I	-0.0000	-0.0000	0.0000																						
J	-0.0000	-0.0000	0.0000																						
K	1.0000	1.0000	0.0000																						
																									
PT10				  CRD2/MM/ANGDEC/CART/XYPLAN																					
	理论	实际	误差	下公差	上公差	趋势																			
X	71.2105	71.2111	0.0006	0.0000	0.0000	0.0006																			
Y	127.4999	127.4996	-0.0003	0.0000	0.0000	-0.0003																			
Z	-11.9999	-12.2448	-0.2449	0.0000	0.0000	-0.2449																			
I	-0.0000	-0.0000	0.0000																						
J	-0.0000	-0.0000	0.0000																						
K	1.0000	1.0000	0.0000																						
																									
PT11				  CRD2/MM/ANGDEC/CART/XYPLAN																					
	理论	实际	误差	下公差	上公差	趋势																			
X	78.7895	78.7901	0.0006	0.0000	0.0000	0.0006																			
Y	127.4999	127.4995	-0.0004	0.0000	0.0000	-0.0004																			
Z	-11.9999	-12.2353	-0.2354	0.0000	0.0000	-0.2354																			
I	-0.0000	-0.0000	0.0000																						
J	-0.0000	-0.0000	0.0000																						
K	1.0000	1.0000	0.0000																						
																									
PT12				  CRD2/MM/ANGDEC/CART/XYPLAN																					
	理论	实际	误差	下公差	上公差	趋势																			
X	86.3684	86.3691	0.0007	0.0000	0.0000	0.0007																			
Y	127.4999	127.4995	-0.0004	0.0000	0.0000	-0.0004																			
Z	-11.9999	-12.2113	-0.2114	0.0000	0.0000	-0.2114																			
I	-0.0000	-0.0000	0.0000																						
J	-0.0000	-0.0000	0.0000																						
K	1.0000	1.0000	0.0000																						
																									
PT13				  CRD2/MM/ANGDEC/CART/XYPLAN																					
	理论	实际	误差	下公差	上公差	趋势																			
X	93.9474	93.9479	0.0005	0.0000	0.0000	0.0005																			
Y	127.4999	127.4995	-0.0004	0.0000	0.0000	-0.0004																			
Z	-11.9999	-12.2076	-0.2078	0.0000	0.0000	-0.2078																			
I	-0.0000	-0.0000	0.0000																						
J	-0.0000	-0.0000	0.0000																						
K	1.0000	1.0000	0.0000																						
																									
PT14				  CRD2/MM/ANGDEC/CART/XYPLAN																					
	理论	实际	误差	下公差	上公差	趋势																			
