检查报告							
公司:		深圳力合精密装备科技有限公司					
操作员:							
日期:		2025年4月7日					
时间:		22:16:01					
工件温度:		20.0C					
							
PT1				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	3.0000	2.9997	-0.0003	0.0000	0.0000	-0.0003	
Y	131.4999	132.0151	0.5152	0.0000	0.0000	0.5152	
Z	-5.9999	-6.0047	-0.0048	0.0000	0.0000	-0.0048	
I	-0.0000	-0.0000	0.0000				
J	-1.0000	-1.0000	0.0000				
K	-0.0000	-0.0000	0.0000				
							
PT2				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	10.5789	10.5787	-0.0002	0.0000	0.0000	-0.0002	
Y	131.4999	131.6142	0.1143	0.0000	0.0000	0.1143	
Z	-5.9999	-6.0035	-0.0037	0.0000	0.0000	-0.0037	
I	-0.0000	-0.0000	0.0000				
J	-1.0000	-1.0000	0.0000				
K	-0.0000	-0.0000	0.0000				
							
PT3				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	18.1579	18.1579	-0.0000	0.0000	0.0000	-0.0000	
Y	131.4999	131.6009	0.1011	0.0000	0.0000	0.1011	
Z	-5.9999	-6.0036	-0.0037	0.0000	0.0000	-0.0037	
I	-0.0000	-0.0000	0.0000				
J	-1.0000	-1.0000	0.0000				
K	-0.0000	-0.0000	0.0000				
							
PT4				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	25.7368	25.7367	-0.0001	0.0000	0.0000	-0.0001	
Y	131.4999	131.6168	0.1169	0.0000	0.0000	0.1169	
Z	-5.9999	-6.0036	-0.0037	0.0000	0.0000	-0.0037	
I	-0.0000	-0.0000	0.0000				
J	-1.0000	-1.0000	0.0000				
K	-0.0000	-0.0000	0.0000				
							
PT5				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	33.3158	33.3156	-0.0002	0.0000	0.0000	-0.0002	
Y	131.4999	131.5101	0.0102	0.0000	0.0000	0.0102	
Z	-5.9999	-6.0036	-0.0037	0.0000	0.0000	-0.0037	
I	-0.0000	-0.0000	0.0000				
J	-1.0000	-1.0000	0.0000				
K	-0.0000	-0.0000	0.0000				
							
PT6				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	40.8947	40.8945	-0.0002	0.0000	0.0000	-0.0002	
Y	131.4999	131.5359	0.0360	0.0000	0.0000	0.0360	
Z	-5.9999	-6.0036	-0.0037	0.0000	0.0000	-0.0037	
I	-0.0000	-0.0000	0.0000				
J	-1.0000	-1.0000	0.0000				
K	-0.0000	-0.0000	0.0000				
							
PT7				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	48.4737	48.4734	-0.0003	0.0000	0.0000	-0.0003	
Y	131.4999	131.5232	0.0233	0.0000	0.0000	0.0233	
Z	-5.9999	-6.0037	-0.0038	0.0000	0.0000	-0.0038	
I	-0.0000	-0.0000	0.0000				
J	-1.0000	-1.0000	0.0000				
K	-0.0000	-0.0000	0.0000				
							
PT8				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	56.0526	56.0526	0.0000	0.0000	0.0000	0.0000	
Y	131.4999	131.7355	0.2356	0.0000	0.0000	0.2356	
Z	-5.9999	-6.0036	-0.0038	0.0000	0.0000	-0.0038	
I	-0.0000	-0.0000	0.0000				
J	-1.0000	-1.0000	0.0000				
K	-0.0000	-0.0000	0.0000				
							
PT9				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	63.6316	63.6316	-0.0000	0.0000	0.0000	-0.0000	
Y	131.4999	131.7603	0.2604	0.0000	0.0000	0.2604	
Z	-5.9999	-6.0038	-0.0039	0.0000	0.0000	-0.0039	
I	-0.0000	-0.0000	0.0000				
J	-1.0000	-1.0000	0.0000				
K	-0.0000	-0.0000	0.0000				
							
PT10				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	71.2105	71.2106	0.0000	0.0000	0.0000	0.0000	
Y	131.4999	131.7315	0.2316	0.0000	0.0000	0.2316	
Z	-5.9999	-6.0038	-0.0039	0.0000	0.0000	-0.0039	
I	-0.0000	-0.0000	0.0000				
J	-1.0000	-1.0000	0.0000				
K	-0.0000	-0.0000	0.0000				
							
PT11				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	78.7895	78.7896	0.0001	0.0000	0.0000	0.0001	
Y	131.4999	131.7303	0.2304	0.0000	0.0000	0.2304	
Z	-5.9999	-6.0037	-0.0038	0.0000	0.0000	-0.0038	
I	-0.0000	-0.0000	0.0000				
J	-1.0000	-1.0000	0.0000				
K	-0.0000	-0.0000	0.0000				
							
PT12				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	86.3684	86.3685	0.0001	0.0000	0.0000	0.0001	
Y	131.4999	131.7287	0.2288	0.0000	0.0000	0.2288	
Z	-5.9999	-6.0038	-0.0039	0.0000	0.0000	-0.0039	
I	-0.0000	-0.0000	0.0000				
J	-1.0000	-1.0000	0.0000				
K	-0.0000	-0.0000	0.0000				
							
PT13				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	93.9474	93.9475	0.0001	0.0000	0.0000	0.0001	
Y	131.4999	131.7337	0.2338	0.0000	0.0000	0.2338	
Z	-5.9999	-6.0037	-0.0039	0.0000	0.0000	-0.0039	
I	-0.0000	-0.0000	0.0000				
J	-1.0000	-1.0000	0.0000				
K	-0.0000	-0.0000	0.0000				
							
PT14				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	101.5260	101.5262	0.0002	0.0000	0.0000	0.0002	
Y	131.4999	131.7683	0.2684	0.0000	0.0000	0.2684	
Z	-5.9999	-6.0038	-0.0039	0.0000	0.0000	-0.0039	
I	-0.0000	-0.0000	0.0000				
J	-1.0000	-1.0000	0.0000				
K	-0.0000	-0.0000	0.0000				
							
PT15				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	109.1050	109.1051	0.0001	0.0000	0.0000	0.0001	
Y	131.4999	131.8024	0.3025	0.0000	0.0000	0.3025	
Z	-5.9999	-6.0038	-0.0039	0.0000	0.0000	-0.0039	
I	-0.0000	-0.0000	0.0000				
J	-1.0000	-1.0000	0.0000				
K	-0.0000	-0.0000	0.0000				
							
PT16				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	116.6840	116.6842	0.0002	0.0000	0.0000	0.0002	
Y	131.4999	131.8322	0.3323	0.0000	0.0000	0.3323	
Z	-5.9999	-6.0039	-0.0040	0.0000	0.0000	-0.0040	
I	-0.0000	-0.0000	0.0000				
J	-1.0000	-1.0000	0.0000				
K	-0.0000	-0.0000	0.0000				
							
PT17				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	124.2630	124.2630	0.0000	0.0000	0.0000	0.0000	
Y	131.4999	131.8731	0.3732	0.0000	0.0000	0.3732	
Z	-5.9999	-6.0037	-0.0038	0.0000	0.0000	-0.0038	
I	-0.0000	-0.0000	0.0000				
J	-1.0000	-1.0000	0.0000				
K	-0.0000	-0.0000	0.0000				
							
PT18				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	131.8420	131.8421	0.0001	0.0000	0.0000	0.0001	
Y	131.4999	131.7518	0.2519	0.0000	0.0000	0.2519	
Z	-5.9999	-6.0039	-0.0040	0.0000	0.0000	-0.0040	
I	-0.0000	-0.0000	0.0000				
J	-1.0000	-1.0000	0.0000				
K	-0.0000	-0.0000	0.0000				
							
PT19				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	139.4210	139.4211	0.0001	0.0000	0.0000	0.0001	
Y	131.4999	131.6991	0.1991	0.0000	0.0000	0.1991	
Z	-5.9999	-6.0038	-0.0039	0.0000	0.0000	-0.0039	
I	-0.0000	-0.0000	0.0000				
J	-1.0000	-1.0000	0.0000				
K	-0.0000	-0.0000	0.0000				
							
PT20				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	147.0000	146.9998	-0.0001	0.0000	0.0000	-0.0001	
Y	131.4999	131.5959	0.0960	0.0000	0.0000	0.0960	
Z	-5.9999	-6.0037	-0.0038	0.0000	0.0000	-0.0038	
I	-0.0000	-0.0000	0.0000				
J	-1.0000	-1.0000	0.0000				
K	-0.0000	-0.0000	0.0000				
							
PT21				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	3.0000	2.9999	-0.0001	0.0000	0.0000	-0.0001	
Y	116.4999	117.0547	0.5547	0.0000	0.0000	0.5547	
Z	-5.9999	-6.0044	-0.0045	0.0000	0.0000	-0.0045	
I	-0.0000	-0.0000	0.0000				
J	-1.0000	-1.0000	0.0000				
K	-0.0000	-0.0000	0.0000				
							
PT22				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	10.5789	10.5788	-0.0001	0.0000	0.0000	-0.0001	
Y	116.4999	116.5786	0.0787	0.0000	0.0000	0.0787	
Z	-5.9999	-6.0041	-0.0042	0.0000	0.0000	-0.0042	
I	-0.0000	-0.0000	0.0000				
J	-1.0000	-1.0000	0.0000				
K	-0.0000	-0.0000	0.0000				
							
PT23				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	18.1579	18.1578	-0.0000	0.0000	0.0000	-0.0000	
Y	116.4999	116.5813	0.0814	0.0000	0.0000	0.0814	
Z	-5.9999	-6.0037	-0.0038	0.0000	0.0000	-0.0038	
I	-0.0000	-0.0000	0.0000				
J	-1.0000	-1.0000	0.0000				
K	-0.0000	-0.0000	0.0000				
							
PT24				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	25.7368	25.7366	-0.0002	0.0000	0.0000	-0.0002	
Y	116.4999	116.6236	0.1237	0.0000	0.0000	0.1237	
Z	-5.9999	-6.0040	-0.0042	0.0000	0.0000	-0.0042	
I	-0.0000	-0.0000	0.0000				
J	-1.0000	-1.0000	0.0000				
K	-0.0000	-0.0000	0.0000				
							
PT25				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	33.3158	33.3157	-0.0001	0.0000	0.0000	-0.0001	
Y	116.4999	116.6504	0.1505	0.0000	0.0000	0.1505	
Z	-5.9999	-6.0039	-0.0041	0.0000	0.0000	-0.0041	
I	-0.0000	-0.0000	0.0000				
J	-1.0000	-1.0000	0.0000				
K	-0.0000	-0.0000	0.0000				
							
PT26				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	40.8947	40.8947	0.0000	0.0000	0.0000	0.0000	
Y	116.4999	116.6984	0.1986	0.0000	0.0000	0.1986	
Z	-5.9999	-6.0040	-0.0042	0.0000	0.0000	-0.0042	
I	-0.0000	-0.0000	0.0000				
J	-1.0000	-1.0000	0.0000				
K	-0.0000	-0.0000	0.0000				
							
PT27				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	48.4737	48.4737	0.0000	0.0000	0.0000	0.0000	
Y	116.4999	116.7341	0.2342	0.0000	0.0000	0.2342	
Z	-5.9999	-6.0040	-0.0042	0.0000	0.0000	-0.0042	
I	-0.0000	-0.0000	0.0000				
J	-1.0000	-1.0000	0.0000				
K	-0.0000	-0.0000	0.0000				
							
PT28				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	56.0526	56.0526	0.0000	0.0000	0.0000	0.0000	
Y	116.4999	116.7440	0.2441	0.0000	0.0000	0.2441	
Z	-5.9999	-6.0041	-0.0042	0.0000	0.0000	-0.0042	
I	-0.0000	-0.0000	0.0000				
J	-1.0000	-1.0000	0.0000				
K	-0.0000	-0.0000	0.0000				
							
PT29				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	63.6316	63.6315	-0.0001	0.0000	0.0000	-0.0001	
Y	116.4999	116.7435	0.2436	0.0000	0.0000	0.2436	
Z	-5.9999	-6.0041	-0.0042	0.0000	0.0000	-0.0042	
I	-0.0000	-0.0000	0.0000				
J	-1.0000	-1.0000	0.0000				
K	-0.0000	-0.0000	0.0000				
							
PT30				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	71.2105	71.2104	-0.0001	0.0000	0.0000	-0.0001	
Y	116.4999	116.7452	0.2453	0.0000	0.0000	0.2453	
Z	-5.9999	-6.0042	-0.0043	0.0000	0.0000	-0.0043	
I	-0.0000	-0.0000	0.0000				
J	-1.0000	-1.0000	0.0000				
K	-0.0000	-0.0000	0.0000				
							
PT31				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	78.7895	78.7894	-0.0001	0.0000	0.0000	-0.0001	
Y	116.4999	116.7585	0.2586	0.0000	0.0000	0.2586	
Z	-5.9999	-6.0042	-0.0043	0.0000	0.0000	-0.0043	
I	-0.0000	-0.0000	0.0000				
J	-1.0000	-1.0000	0.0000				
K	-0.0000	-0.0000	0.0000				
							
PT32				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	86.3684	86.3685	0.0001	0.0000	0.0000	0.0001	
Y	116.4999	116.7503	0.2504	0.0000	0.0000	0.2504	
Z	-5.9999	-6.0041	-0.0042	0.0000	0.0000	-0.0042	
I	-0.0000	-0.0000	0.0000				
J	-1.0000	-1.0000	0.0000				
K	-0.0000	-0.0000	0.0000				
							
PT33				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	93.9474	93.9476	0.0002	0.0000	0.0000	0.0002	
Y	116.4999	116.7978	0.2979	0.0000	0.0000	0.2979	
Z	-5.9999	-6.0041	-0.0042	0.0000	0.0000	-0.0042	
I	-0.0000	-0.0000	0.0000				
J	-1.0000	-1.0000	0.0000				
K	-0.0000	-0.0000	0.0000				
							
