检查报告							
公司:		深圳力合精密装备科技有限公司					
操作员:							
日期:		2025年5月15日					
时间:		14:57:29					
工件温度:		20.0C					
							
PT1				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	3.0000	2.9999	-0.0001	0.0000	0.0000	-0.0001	
Y	142.4999	142.5002	0.0003	0.0000	0.0000	0.0003	
Z	-0.9999	-1.0377	-0.0378	0.0000	0.0000	-0.0378	
I	0.0000	0.0000	0.0000				
J	-0.0000	-0.0000	0.0000				
K	1.0000	1.0000	0.0000				
							
PT2				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	7.9655	7.9659	0.0004	0.0000	0.0000	0.0004	
Y	142.4999	142.5003	0.0004	0.0000	0.0000	0.0004	
Z	-0.9999	-1.0612	-0.0613	0.0000	0.0000	-0.0613	
I	0.0000	0.0000	0.0000				
J	-0.0000	-0.0000	0.0000				
K	1.0000	1.0000	0.0000				
							
PT3				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	12.9310	12.9315	0.0005	0.0000	0.0000	0.0005	
Y	142.4999	142.4999	0.0000	0.0000	0.0000	0.0000	
Z	-0.9999	-1.0451	-0.0452	0.0000	0.0000	-0.0452	
I	0.0000	0.0000	0.0000				
J	-0.0000	-0.0000	0.0000				
K	1.0000	1.0000	0.0000				
							
PT4				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	17.8966	17.8970	0.0004	0.0000	0.0000	0.0004	
Y	142.4999	142.5001	0.0002	0.0000	0.0000	0.0002	
Z	-0.9999	-1.0765	-0.0766	0.0000	0.0000	-0.0766	
I	0.0000	0.0000	0.0000				
J	-0.0000	-0.0000	0.0000				
K	1.0000	1.0000	0.0000				
							
PT5				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	22.8621	22.8625	0.0004	0.0000	0.0000	0.0004	
Y	142.4999	142.5000	0.0001	0.0000	0.0000	0.0001	
Z	-0.9999	-1.0594	-0.0595	0.0000	0.0000	-0.0595	
I	0.0000	0.0000	0.0000				
J	-0.0000	-0.0000	0.0000				
K	1.0000	1.0000	0.0000				
							
PT6				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	27.8276	27.8281	0.0005	0.0000	0.0000	0.0005	
Y	142.4999	142.5000	0.0001	0.0000	0.0000	0.0001	
Z	-0.9999	-1.0769	-0.0771	0.0000	0.0000	-0.0771	
I	0.0000	0.0000	0.0000				
J	-0.0000	-0.0000	0.0000				
K	1.0000	1.0000	0.0000				
							
PT7				  CRD1/MM/ANGDEC/CART/XYPLAN			
	理论	实际	误差	下公差	上公差	趋势	
X	32.7931	32.7936	0.0005	0.0000	0.0000	0.0005	
Y	142.4999	142.4999	0.0000	0.0000	0.0000	0.0000	
Z	-0.9999	-1.0704	-0.0705	0.0000	0.0000	-0.0705	
I	0.0000	0.0000	0.0000				
J	-0.0000	-0.0000	0.0000				
K	1.0000	1.0000	0.0000				
							
