检查报告																									
公司:		深圳力合精密装备科技有限公司																							
操作员:																									
日期:		2025年5月16日																							
时间:		12:09:13																							
工件温度:		20.0C																							
																									
PT1				  CRD2/MM/ANGDEC/CART/XYPLAN																					
	理论	实际	误差	下公差	上公差	趋势																			
X	4.7799	4.7973	0.0174	0.0000	0.0000	0.0174																			
Y	116.6000	117.1785	0.5785	0.0000	0.0000	0.5785																			
Z	-1.4912	-1.4931	-0.0019	0.0000	0.0000	-0.0019																			
I	-0.0307	-0.0307	0.0000																						
J	-0.9995	-0.9995	0.0000																						
K	-0.0002	-0.0002	0.0000																						
																									
PT2				  CRD2/MM/ANGDEC/CART/XYPLAN																					
	理论	实际	误差	下公差	上公差	趋势																			
X	9.7431	9.7515	0.0085	0.0000	0.0000	0.0085																			
Y	116.4475	116.7233	0.2758	0.0000	0.0000	0.2758																			
Z	-1.4907	-1.4924	-0.0017	0.0000	0.0000	-0.0017																			
I	-0.0307	-0.0307	0.0000																						
J	-0.9995	-0.9995	0.0000																						
K	-0.0002	-0.0002	0.0000																						
																									
PT3				  CRD2/MM/ANGDEC/CART/XYPLAN																					
	理论	实际	误差	下公差	上公差	趋势																			
X	14.7062	14.7151	0.0089	0.0000	0.0000	0.0089																			
Y	116.2951	116.5895	0.2943	0.0000	0.0000	0.2943																			
Z	-1.4902	-1.4921	-0.0019	0.0000	0.0000	-0.0019																			
I	-0.0307	-0.0307	0.0000																						
J	-0.9995	-0.9995	0.0000																						
K	-0.0002	-0.0002	0.0000																						
																									
PT4				  CRD2/MM/ANGDEC/CART/XYPLAN																					
	理论	实际	误差	下公差	上公差	趋势																			
X	19.6695	19.6778	0.0083	0.0000	0.0000	0.0083																			
Y	116.1427	116.4105	0.2678	0.0000	0.0000	0.2678																			
Z	-1.4897	-1.4918	-0.0021	0.0000	0.0000	-0.0021																			
I	-0.0307	-0.0307	0.0000																						
J	-0.9995	-0.9995	0.0000																						
K	-0.0002	-0.0002	0.0000																						
																									
PT5				  CRD2/MM/ANGDEC/CART/XYPLAN																					
	理论	实际	误差	下公差	上公差	趋势																			
X	24.6326	24.6412	0.0086	0.0000	0.0000	0.0086																			
Y	115.9903	116.2695	0.2792	0.0000	0.0000	0.2792																			
Z	-1.4892	-1.4911	-0.0020	0.0000	0.0000	-0.0020																			
I	-0.0307	-0.0307	0.0000																						
J	-0.9995	-0.9995	0.0000																						
K	-0.0002	-0.0002	0.0000																						
																									
PT6				  CRD2/MM/ANGDEC/CART/XYPLAN																					
	理论	实际	误差	下公差	上公差	趋势																			
X	29.5958	29.6045	0.0087	0.0000	0.0000	0.0087																			
Y	115.8379	116.1231	0.2852	0.0000	0.0000	0.2852																			
Z	-1.4887	-1.4908	-0.0022	0.0000	0.0000	-0.0022																			
I	-0.0307	-0.0307	0.0000																						
J	-0.9995	-0.9995	0.0000																						
K	-0.0002	-0.0002	0.0000																						
																									
PT7				  CRD2/MM/ANGDEC/CART/XYPLAN																					
	理论	实际	误差	下公差	上公差	趋势																			
X	34.5589	34.5684	0.0095	0.0000	0.0000	0.0095																			
Y	115.6854	115.9893	0.3039	0.0000	0.0000	0.3039																			
