检查报告																									
公司:		深圳力合精密装备科技有限公司																							
操作员:																									
日期:		2025年5月15日																							
时间:		17:59:10																							
工件温度:		20.0C																							
																									
PT1				  CRD2/MM/ANGDEC/CART/XYPLAN																					
	理论	实际	误差	下公差	上公差	趋势																			
X	3.0000	3.0005	0.0005	0.0000	0.0000	0.0005																			
Y	142.4999	142.4989	-0.0009	0.0000	0.0000	-0.0009																			
Z	-0.9999	-1.3455	-0.3457	0.0000	0.0000	-0.3457																			
I	0.0000	0.0000	0.0000																						
J	0.0000	0.0000	0.0000																						
K	1.0000	1.0000	0.0000																						
																									
PT2				  CRD2/MM/ANGDEC/CART/XYPLAN																					
	理论	实际	误差	下公差	上公差	趋势																			
X	7.9655	7.9660	0.0005	0.0000	0.0000	0.0005																			
Y	142.4999	142.5002	0.0003	0.0000	0.0000	0.0003																			
Z	-0.9999	-1.3559	-0.3560	0.0000	0.0000	-0.3560																			
I	0.0000	0.0000	0.0000																						
J	0.0000	0.0000	0.0000																						
K	1.0000	1.0000	0.0000																						
																									
PT3				  CRD2/MM/ANGDEC/CART/XYPLAN																					
	理论	实际	误差	下公差	上公差	趋势																			
X	12.9310	12.9314	0.0004	0.0000	0.0000	0.0004																			
Y	142.4999	142.5002	0.0004	0.0000	0.0000	0.0004																			
Z	-0.9999	-1.3252	-0.3253	0.0000	0.0000	-0.3253																			
I	0.0000	0.0000	0.0000																						
J	0.0000	0.0000	0.0000																						
K	1.0000	1.0000	0.0000																						
																									
PT4				  CRD2/MM/ANGDEC/CART/XYPLAN																					
	理论	实际	误差	下公差	上公差	趋势																			
X	17.8966	17.8970	0.0004	0.0000	0.0000	0.0004																			
Y	142.4999	142.5004	0.0005	0.0000	0.0000	0.0005																			
Z	-0.9999	-1.3486	-0.3488	0.0000	0.0000	-0.3488																			
I	0.0000	0.0000	0.0000																						
J	0.0000	0.0000	0.0000																						
K	1.0000	1.0000	0.0000																						
																									
PT5				  CRD2/MM/ANGDEC/CART/XYPLAN																					
	理论	实际	误差	下公差	上公差	趋势																			
X	22.8621	22.8626	0.0005	0.0000	0.0000	0.0005																			
Y	142.4999	142.5002	0.0004	0.0000	0.0000	0.0004																			
Z	-0.9999	-1.3306	-0.3308	0.0000	0.0000	-0.3308																			
I	0.0000	0.0000	0.0000																						
J	0.0000	0.0000	0.0000																						
K	1.0000	1.0000	0.0000																						
																									
PT6				  CRD2/MM/ANGDEC/CART/XYPLAN																					
	理论	实际	误差	下公差	上公差	趋势																			
X	27.8276	27.8281	0.0005	0.0000	0.0000	0.0005																			
Y	142.4999	142.5001	0.0002	0.0000	0.0000	0.0002																			
Z	-0.9999	-1.3446	-0.3447	0.0000	0.0000	-0.3447																			
I	0.0000	0.0000	0.0000																						
J	0.0000	0.0000	0.0000																						
K	1.0000	1.0000	0.0000																						
																									
PT7				  CRD2/MM/ANGDEC/CART/XYPLAN																					
	理论	实际	误差	下公差	上公差	趋势																			
X	32.7931	32.7935	0.0004	0.0000	0.0000	0.0004																			
Y	142.4999	142.5002	0.0003	0.0000	0.0000	0.0003																			
Z	-0.9999	-1.2782	-0.2784	0.0000	0.0000	-0.2784																			
I	0.0000	0.0000	0.0000																						
J	0.0000	0.0000	0.0000																						
K	1.0000	1.0000	0.0000																						
																									
PT8				  CRD2/MM/ANGDEC/CART/XYPLAN																					
	理论	实际	误差	下公差	上公差	趋势																			
X	37.7586	37.7591	0.0005	0.0000	0.0000	0.0005																			
Y	142.4999	142.5002	0.0003	0.0000	0.0000	0.0003																			
Z	-0.9999	-1.2620	-0.2621	0.0000	0.0000	-0.2621																			
I	0.0000	0.0000	0.0000																						
J	0.0000	0.0000	0.0000																						
K	1.0000	1.0000	0.0000																						
																									
PT9				  CRD2/MM/ANGDEC/CART/XYPLAN																					
	理论	实际	误差	下公差	上公差	趋势																			
X	42.7241	42.7246	0.0005	0.0000	0.0000	0.0005																			
Y	142.4999	142.5002	0.0003	0.0000	0.0000	0.0003																			
Z	-0.9999	-1.3011	-0.3012	0.0000	0.0000	-0.3012																			
I	0.0000	0.0000	0.0000																						
J	0.0000	0.0000	0.0000																						
K	1.0000	1.0000	0.0000																						
																									
PT10				  CRD2/MM/ANGDEC/CART/XYPLAN																					
	理论	实际	误差	下公差	上公差	趋势																			
X	47.6897	47.6901	0.0004	0.0000	0.0000	0.0004																			
Y	142.4999	142.5003	0.0004	0.0000	0.0000	0.0004																			
Z	-0.9999	-1.3281	-0.3283	0.0000	0.0000	-0.3283																			
I	0.0000	0.0000	0.0000																						
J	0.0000	0.0000	0.0000																						
K	1.0000	1.0000	0.0000																						
																									
PT11				  CRD2/MM/ANGDEC/CART/XYPLAN																					
	理论	实际	误差	下公差	上公差	趋势																			
X	52.6552	52.6558	0.0005	0.0000	0.0000	0.0005																			
Y	142.4999	142.5003	0.0003	0.0000	0.0000	0.0003																			
Z	-0.9999	-1.3292	-0.3293	0.0000	0.0000	-0.3293																			
I	0.0000	0.0000	0.0000																						
J	0.0000	0.0000	0.0000																						
K	1.0000	1.0000	0.0000																						
																									
PT12				  CRD2/MM/ANGDEC/CART/XYPLAN																					
	理论	实际	误差	下公差	上公差	趋势																			
X	57.6207	57.6212	0.0005	0.0000	0.0000	0.0005																			
Y	142.4999	142.5003	0.0004	0.0000	0.0000	0.0004																			
Z	-0.9999	-1.3224	-0.3225	0.0000	0.0000	-0.3225																			
I	0.0000	0.0000	0.0000																						
J	0.0000	0.0000	0.0000																						
K	1.0000	1.0000	0.0000																						
																									
PT13				  CRD2/MM/ANGDEC/CART/XYPLAN																					
	理论	实际	误差	下公差	上公差	趋势																			
X	62.5862	62.5866	0.0004	0.0000	0.0000	0.0004																			
Y	142.4999	142.5003	0.0004	0.0000	0.0000	0.0004																			
Z	-0.9999	-1.3268	-0.3269	0.0000	0.0000	-0.3269																			
I	0.0000	0.0000	0.0000																						
J	0.0000	0.0000	0.0000																						
K	1.0000	1.0000	0.0000																						
																									
PT14				  CRD2/MM/ANGDEC/CART/XYPLAN																					
	理论	实际	误差	下公差	上公差	趋势																			
X	67.5517	67.5520	0.0004	0.0000	0.0000	0.0004																			
Y	142.4999	142.5003	0.0005	0.0000	0.0000	0.0005																			
Z	-0.9999	-1.3261	-0.3262	0.0000	0.0000	-0.3262																			
I	0.0000	0.0000	0.0000																						
J	0.0000	0.0000	0.0000																						
K	1.0000	1.0000	0.0000																						
																									
PT15				  CRD2/MM/ANGDEC/CART/XYPLAN																					
	理论	实际	误差	下公差	上公差	趋势																			
X	72.5172	72.5176	0.0004	0.0000	0.0000	0.0004																			
Y	142.4999	142.5002	0.0003	0.0000	0.0000	0.0003																			
Z	-0.9999	-1.3149	-0.3150	0.0000	0.0000	-0.3150																			
I	0.0000	0.0000	0.0000																						
J	0.0000	0.0000	0.0000																						
K	1.0000	1.0000	0.0000																						
																									
PT16				  CRD2/MM/ANGDEC/CART/XYPLAN																					
	理论	实际	误差	下公差	上公差	趋势																			
X	77.4828	77.4833	0.0005	0.0000	0.0000	0.0005																			
Y	142.4999	142.5001	0.0002	0.0000	0.0000	0.0002																			
