开始记录spindle数据...	开始记录accel数据...	
	采集数据: X = 0.045878, Y = 0.12704, Z = 0.23406	
主轴转速: 9047	t = 213.2 s, 稳定, fc = NaN Hz, Xf = 0.0856, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.20783, Y = 0.038611, Z = -0.064544	
主轴转速: 8988	t = 213.3 s, 稳定, fc = NaN Hz, Xf = 0.0874, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.15395, Y = 0.012422, Z = 0.010898	
主轴转速: 8988	t = 213.4 s, 稳定, fc = NaN Hz, Xf = 0.0878, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.079913, Y = 0.094643, Z = -0.06881	
主轴转速: 8974	t = 213.5 s, 稳定, fc = NaN Hz, Xf = 0.0885, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.10421, Y = -0.024242, Z = -0.095989	
主轴转速: 8974	t = 213.6 s, 稳定, fc = NaN Hz, Xf = 0.0877, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.25825, Y = -0.030637, Z = -0.030723	
主轴转速: 8993	t = 213.7 s, 稳定, fc = NaN Hz, Xf = 0.0884, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.12302, Y = 0.079052, Z = 0.067084	
主轴转速: 8993	t = 213.8 s, 稳定, fc = NaN Hz, Xf = 0.0885, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.19383, Y = 0.20238, Z = 0.010715	
主轴转速: 9049	t = 213.9 s, 稳定, fc = NaN Hz, Xf = 0.0878, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.20126, Y = -0.10366, Z = 0.18524	
主轴转速: 8998	t = 214.0 s, 稳定, fc = NaN Hz, Xf = 0.0869, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.0488, Y = -0.13003, Z = 0.11041	
主轴转速: 8998	t = 214.1 s, 稳定, fc = NaN Hz, Xf = 0.0858, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.11212, Y = 0.084472, Z = -0.24395	
主轴转速: 8941	t = 214.2 s, 稳定, fc = NaN Hz, Xf = 0.0881, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.14853, Y = 0.063095, Z = -0.24785	
主轴转速: 8941	t = 214.3 s, 稳定, fc = NaN Hz, Xf = 0.0883, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.11194, Y = -0.12352, Z = 0.19853	
主轴转速: 8998	t = 214.4 s, 稳定, fc = NaN Hz, Xf = 0.0849, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.058968, Y = 0.17912, Z = 0.050935	
主轴转速: 8998	t = 214.5 s, 稳定, fc = NaN Hz, Xf = 0.0865, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.20351, Y = -0.014193, Z = -0.12445	
主轴转速: 9035	t = 214.6 s, 稳定, fc = NaN Hz, Xf = 0.0877, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.10323, Y = -0.020649, Z = 0.018881	
主轴转速: 9035	t = 214.7 s, 稳定, fc = NaN Hz, Xf = 0.0875, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.019696, Y = 0.066201, Z = 0.026742	
主轴转速: 8951	t = 214.8 s, 稳定, fc = NaN Hz, Xf = 0.0892, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.091238, Y = -0.082467, Z = -0.096354	
主轴转速: 8951	t = 214.9 s, 稳定, fc = NaN Hz, Xf = 0.0891, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.23468, Y = -0.08003, Z = -0.17241	
主轴转速: 8948	t = 215.0 s, 稳定, fc = NaN Hz, Xf = 0.0885, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.01854, Y = 0.020218, Z = 0.020466	
主轴转速: 8948	t = 215.1 s, 稳定, fc = NaN Hz, Xf = 0.0878, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.24942, Y = 0.25555, Z = -0.0062867	
主轴转速: 9026	t = 215.2 s, 稳定, fc = NaN Hz, Xf = 0.0893, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.12247, Y = -0.18874, Z = 0.086158	
主轴转速: 9026	t = 215.3 s, 稳定, fc = NaN Hz, Xf = 0.0878, n_new = NaN rpm, pass = 0.0002 s	
