主轴转速: 7922	开始记录accel数据...	
	采集数据: X = -0.058481, Y = -0.071321, Z = 0.10956	
开始记录spindle数据...	t = 303.5 s, 颤振, fc = 540.00 Hz, Xf = 0.1671, n_new = 8100.00 rpm, pass = 0.0002 s	
	采集数据: X = -0.32814, Y = -0.0029865, Z = 0.28957	
主轴转速: 7976	t = 303.6 s, 颤振, fc = 540.00 Hz, Xf = 0.1667, n_new = 8100.00 rpm, pass = 0.0002 s	
	采集数据: X = 0.1341, Y = -0.16603, Z = -0.041022	
主轴转速: 7976	t = 303.7 s, 颤振, fc = 540.00 Hz, Xf = 0.1647, n_new = 8100.00 rpm, pass = 0.0002 s	
	采集数据: X = -0.04399, Y = 0.076615, Z = 0.010959	
主轴转速: 7962	t = 303.8 s, 颤振, fc = 540.00 Hz, Xf = 0.1653, n_new = 8100.00 rpm, pass = 0.0002 s	
	采集数据: X = -0.21216, Y = -0.098911, Z = 0.14838	
主轴转速: 7962	t = 303.9 s, 颤振, fc = 540.00 Hz, Xf = 0.1649, n_new = 8100.00 rpm, pass = 0.0002 s	
	采集数据: X = -0.37174, Y = -0.034413, Z = 0.087194	
主轴转速: 7943	t = 304.0 s, 颤振, fc = 540.00 Hz, Xf = 0.1643, n_new = 8100.00 rpm, pass = 0.0002 s	
	采集数据: X = -0.046912, Y = -0.096535, Z = -0.21506	
主轴转速: 7943	t = 304.1 s, 颤振, fc = 540.00 Hz, Xf = 0.1648, n_new = 8100.00 rpm, pass = 0.0002 s	
	采集数据: X = 0.19036, Y = -0.011939, Z = -0.17448	
主轴转速: 7955	t = 304.2 s, 颤振, fc = 540.00 Hz, Xf = 0.1638, n_new = 8100.00 rpm, pass = 0.0003 s	
	采集数据: X = -0.15431, Y = -0.051466, Z = 0.043805	
主轴转速: 7955	t = 304.3 s, 颤振, fc = 540.00 Hz, Xf = 0.1647, n_new = 8100.00 rpm, pass = 0.0002 s	
	采集数据: X = -0.30501, Y = -0.1726, Z = 0.15234	
主轴转速: 7948	t = 304.4 s, 颤振, fc = 540.00 Hz, Xf = 0.1641, n_new = 8100.00 rpm, pass = 0.0003 s	
	采集数据: X = -0.057689, Y = 0.020462, Z = -0.30927	
主轴转速: 7948	t = 304.5 s, 颤振, fc = 540.00 Hz, Xf = 0.1623, n_new = 8100.00 rpm, pass = 0.0003 s	
	采集数据: X = 0.16497, Y = 0.131, Z = -0.21299	
主轴转速: 7945	t = 304.6 s, 颤振, fc = 540.00 Hz, Xf = 0.1623, n_new = 8100.00 rpm, pass = 0.0002 s	
	采集数据: X = 0.19687, Y = -0.10829, Z = -0.078073	
主轴转速: 7945	t = 304.7 s, 颤振, fc = 540.00 Hz, Xf = 0.1577, n_new = 8100.00 rpm, pass = 0.0003 s	
	采集数据: X = -0.17021, Y = 0.03587, Z = -0.045044	
主轴转速: 7952	t = 304.8 s, 颤振, fc = 540.00 Hz, Xf = 0.1646, n_new = 8100.00 rpm, pass = 0.0003 s	
	采集数据: X = 0.66545, Y = 0.23344, Z = -0.34876	
主轴转速: 7952	t = 304.9 s, 颤振, fc = 540.00 Hz, Xf = 0.1748, n_new = 8100.00 rpm, pass = 0.0002 s	
	采集数据: X = -0.25806, Y = 0.38887, Z = -0.07527	
主轴转速: 7929	t = 305.0 s, 颤振, fc = 1610.00 Hz, Xf = 0.2387, n_new = 8050.00 rpm, pass = 0.0002 s	
	采集数据: X = -0.10749, Y = -0.41245, Z = 0.30219	
主轴转速: 7929	t = 305.1 s, 颤振, fc = 1610.00 Hz, Xf = 0.2087, n_new = 8050.00 rpm, pass = 0.0003 s	
	采集数据: X = 0.43701, Y = 0.071439, Z = 0.16069	
主轴转速: 7955	t = 305.2 s, 稳定, fc = NaN Hz, Xf = 0.1391, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.087097, Y = 0.32602, Z = 0.19804	
主轴转速: 7934	t = 305.3 s, 颤振, fc = 1610.00 Hz, Xf = 0.2106, n_new = 8050.00 rpm, pass = 0.0003 s	
	采集数据: X = -1.3217, Y = -0.038006, Z = -0.39709	
主轴转速: 7934	t = 305.4 s, 稳定, fc = NaN Hz, Xf = 0.1367, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.078756, Y = -0.2061, Z = 0.4343	
主轴转速: 8011	t = 305.5 s, 颤振, fc = 1120.00 Hz, Xf = 0.1944, n_new = 8400.00 rpm, pass = 0.0002 s	
	采集数据: X = 0.0036228, Y = 0.37358, Z = -0.14681	
主轴转速: 8011	t = 305.6 s, 稳定, fc = NaN Hz, Xf = 0.0685, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.21106, Y = 0.20062, Z = 0.19256	
主轴转速: 7905	t = 305.7 s, 稳定, fc = NaN Hz, Xf = 0.0904, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.48243, Y = -0.16085, Z = 0.27007	
主轴转速: 7905	t = 305.8 s, 稳定, fc = NaN Hz, Xf = 0.1126, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.30647, Y = -0.17047, Z = 0.20243	
主轴转速: 8037	t = 305.9 s, 稳定, fc = NaN Hz, Xf = 0.1141, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.20034, Y = 0.46659, Z = -0.28606	
主轴转速: 8037	t = 306.0 s, 稳定, fc = NaN Hz, Xf = 0.1145, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.028769, Y = -0.21152, Z = -0.17186	
主轴转速: 8009	t = 306.1 s, 稳定, fc = NaN Hz, Xf = 0.1120, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.11443, Y = -0.015411, Z = -0.028103	
主轴转速: 8009	t = 306.2 s, 稳定, fc = NaN Hz, Xf = 0.0973, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.32139, Y = -0.18881, Z = 0.20426	
主轴转速: 8034	t = 306.3 s, 稳定, fc = NaN Hz, Xf = 0.1081, n_new = NaN rpm, pass = 0.0002 s	
